fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:14.375940,Viñas,7.06,5.55,7.06,8.53,89,2.24,cielo claro,43.3613,-8.4066,0,10000,0.0,0.0
2025-10-27T14:16:39.160067,A Coruña,16.64,16.24,15.23,18.39,72,6.26,cielo claro,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-27T22:14:09.038393,A Coruña,10.38,9.93,8.95,11.76,94,2.06,algo de nubes,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-28T06:24:27.889249,A Coruña,10.84,10.15,9.1,10.84,83,1.79,algo de nubes,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-28T06:38:52.881598,Viñas,11.77,11.09,8.82,12.31,80,1.34,nubes,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-28T14:16:21.992851,A Coruña,15.69,15.51,15.23,16.2,84,2.68,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-28T22:15:02.921557,A Coruña,16.38,16.29,16.1,16.76,85,2.68,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T06:24:50.375910,A Coruña,15.64,15.61,14.93,16.35,90,3.09,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T06:43:39.138335,A Coruña,15.64,15.61,14.93,16.19,90,1.54,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T06:49:20.380405,A Coruña,15.64,15.61,14.93,16.19,90,1.54,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T06:56:22.035783,A Coruña,15.34,15.28,14.66,16.19,90,1.54,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T07:00:32.438668,A Coruña,15.34,15.28,14.66,16.19,90,1.54,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T07:08:06.590365,Viñas,15.69,15.66,14.98,16.24,90,1.54,lluvia ligera,43.3572,-8.4075,0,10000,0.0,0.0
2025-10-29T14:16:33.320776,A Coruña,15.11,15.08,14.66,15.79,92,3.09,lluvia ligera,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-29T22:14:40.571223,Viñas,10.4,10.05,9.68,12.38,98,1.34,bruma,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-30T06:23:26.905780,A Coruña,12.56,12.33,11.73,13.01,94,2.06,muy nuboso,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-30T14:15:31.435027,A Coruña,17.2,16.96,16.35,17.51,76,7.72,muy nuboso,43.3623,-8.4115,0,10000,0.0,0.0
2025-10-30T22:14:32.751966,A Coruña,15.22,15.23,14.66,16.35,93,3.09,lluvia moderada,43.3623,-8.4115,0,10000,0.0,0.0
