fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:16.705272,Alicante,15.12,14.85,14.42,16.15,83,2.57,nubes dispersas,38.3452,-0.481
2025-10-27T14:16:41.564561,Alicante,23.41,23.06,22.45,24.01,48,3.09,algo de nubes,38.3452,-0.4815
2025-10-27T22:14:11.369373,Alicante,16.46,16.49,16.01,17.62,89,2.06,cielo claro,38.3452,-0.481
2025-10-28T06:24:30.305410,Alicante,13.86,12.79,13.86,14.29,57,0.75,cielo claro,38.3452,-0.481
2025-10-28T06:38:55.231079,Alicante,13.86,12.82,13.86,14.29,58,0.86,cielo claro,38.3452,-0.481
2025-10-28T14:16:24.484883,Alicante,22.61,22.57,21.7,23.73,63,3.6,cielo claro,38.3452,-0.481
2025-10-28T22:15:05.418310,Alicante,17.93,18,17.36,18.73,85,2.06,algo de nubes,38.3452,-0.481
2025-10-29T06:24:52.808396,Alicante,17.65,17.72,16.8,18.01,86,0.51,cielo claro,38.3452,-0.481
2025-10-29T06:43:41.693847,Alicante,17.65,17.69,16.9,18.37,85,1.54,cielo claro,38.3452,-0.481
2025-10-29T06:49:22.926052,Alicante,17.65,17.69,16.87,18.37,85,1.54,cielo claro,38.3452,-0.481
2025-10-29T06:56:24.437391,Alicante,17.72,17.74,16.87,18.37,84,1.54,cielo claro,38.3452,-0.481
2025-10-29T07:00:34.807643,Alicante,17.71,17.73,16.86,18.36,84,1.54,cielo claro,38.3452,-0.4815
2025-10-29T07:08:08.940341,Alicante,17.74,17.76,16.87,18.37,84,1.54,cielo claro,38.3452,-0.481
2025-10-29T14:16:35.638089,Alicante,23.65,23.77,22.42,24.01,65,3.6,cielo claro,38.3452,-0.481
2025-10-29T22:14:43.048030,Alicante,19.94,20.29,19.09,20.4,88,1.54,algo de nubes,38.3452,-0.481
2025-10-30T06:23:29.248952,Alicante,17.87,17.67,16.87,18.18,75,4.63,algo de nubes,38.3452,-0.481
2025-10-30T14:15:33.840064,Alicante,23.66,23.83,22.81,24.01,67,5.14,cielo claro,38.3452,-0.481
2025-10-30T22:14:35.163584,Alicante,19.4,19.64,18.47,20.03,86,0,nubes,38.3452,-0.481
2025-10-31T06:23:43.437132,Alicante,16.8,16.86,16.01,18.37,89,0.51,nubes,38.3452,-0.481
2025-10-31T14:15:39.226195,Alicante,23.51,23.77,22.26,24.42,71,3.09,cielo claro,38.3452,-0.481
2025-10-31T22:14:35.134576,Alicante,18.77,19.08,18.01,19.48,91,0.51,cielo claro,38.3452,-0.481
2025-11-01T06:20:57.895944,Alicante,16.59,16.34,16.09,17.91,78,1.02,nubes,38.3452,-0.481
2025-11-01T14:12:35.835576,Alicante,24.63,24.72,23.56,25.69,60,3.6,cielo claro,38.3452,-0.481
2025-11-01T22:13:15.408314,Alicante,18.86,18.94,18.01,20.03,82,1.54,cielo claro,38.3452,-0.481
2025-11-02T06:22:00.233189,Alicante,18.41,18.08,16.7,20.13,68,4.3,nubes,38.3452,-0.481
2025-11-02T14:12:46.647293,Alicante,26.25,26.25,25.61,27.2,43,5.14,algo de nubes,38.3452,-0.481
2025-11-02T22:13:34.009402,Alicante,20.05,19.52,19.58,20.53,54,2.57,cielo claro,38.3452,-0.4815
2025-11-03T06:25:13.843358,Alicante,17.69,17.24,16.09,18.47,66,2.57,cielo claro,38.3452,-0.481
2025-11-03T14:15:54.266497,Alicante,22.16,22.05,21.14,22.82,62,5.14,algo de nubes,38.3452,-0.4815
