fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:17.862779,Almería,18.73,18.88,18.73,20.06,85,2.57,lluvia ligera,36.834,-2.4637
2025-10-27T14:16:42.765293,Almería,23.18,23.38,23.06,23.18,70,4.12,nubes dispersas,36.834,-2.4637
2025-10-27T22:14:12.539369,Almería,19.84,19.99,19.06,19.84,81,2.06,cielo claro,36.834,-2.4637
2025-10-28T06:24:31.510793,Almería,17.62,17.53,17.06,17.62,80,3.6,algo de nubes,36.834,-2.4637
2025-10-28T06:38:56.401790,Almería,17.62,17.53,17.06,17.62,80,3.6,algo de nubes,36.834,-2.4637
2025-10-28T14:16:25.728901,Almería,23.18,23.49,23.06,23.18,74,3.6,algo de nubes,36.834,-2.4637
2025-10-28T22:15:06.706954,Almería,20.4,20.72,20.06,20.4,85,4.63,algo de nubes,36.834,-2.4637
2025-10-29T06:24:54.020446,Almería,19.29,19.44,19.06,19.29,83,2.57,algo de nubes,36.834,-2.4637
2025-10-29T06:43:42.978777,Almería,19.29,19.47,19.06,19.29,84,2.57,algo de nubes,36.834,-2.4637
2025-10-29T06:49:24.204582,Almería,19.29,19.44,19.06,19.29,83,2.57,algo de nubes,36.834,-2.4637
2025-10-29T06:56:25.638097,Almería,19.29,19.47,19.06,19.29,84,2.57,algo de nubes,36.834,-2.4637
2025-10-29T07:00:35.976472,Almería,19.29,19.47,19.06,19.29,84,2.57,algo de nubes,36.834,-2.4637
2025-10-29T07:08:10.116783,Almería,19.29,19.47,19.06,19.29,84,2.57,algo de nubes,36.834,-2.4637
2025-10-29T14:16:36.799644,Almería,22.07,22.11,22.07,23.06,68,6.69,algo de nubes,36.834,-2.4637
2025-10-29T22:14:44.278264,Almería,19.84,20.1,19.84,20.06,85,6.69,muy nuboso,36.834,-2.4637
