fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:20.173218,Metaxourgio,22.68,22.99,21.54,23.79,76,7.2,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-27T14:17:46.691001,Metaxourgio,25.54,25.93,24.76,26.57,68,4.12,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-27T22:15:14.464665,Metaxourgio,20.94,20.79,19.97,22.12,65,4.02,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-28T06:25:35.731492,Metaxourgio,19.23,18.57,18.65,19.97,52,4.02,cielo claro,37.9838,23.7275,0,10000,0.0,0.0
2025-10-28T06:39:58.662407,Metaxourgio,19.53,18.82,18.51,20.95,49,4.47,cielo claro,37.9838,23.7275,0,10000,0.0,0.0
2025-10-28T14:17:32.050430,Metaxourgio,23.74,23.24,22.6,24.97,41,4.02,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-28T22:16:13.448321,Metaxourgio,17.7,16.94,15.73,18.75,54,1.34,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T06:25:58.263245,Metaxourgio,17.51,17.27,15.97,18.74,75,4.02,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T06:44:50.684913,Metaxourgio,17.84,17.61,16.54,19.43,74,2.68,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T06:50:31.854814,Metaxourgio,17.94,17.7,16.84,19.43,73,3.13,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T06:57:29.223860,Kolonaki,17.92,17.67,16.84,19.01,73,3.13,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T07:01:40.224035,Kolonaki,17.92,17.67,16.84,19.01,73,3.13,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T07:09:12.417970,Metaxourgio,18.21,17.94,17.16,19.34,71,4.63,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T14:17:38.601298,Metaxourgio,21.59,21.08,20.37,22.74,49,4.12,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-29T22:15:50.391625,Metaxourgio,15.8,15.21,13.54,17.08,68,1.54,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-30T06:24:32.512628,Metaxourgio,16.43,16.06,14.54,18.17,74,2.57,cielo claro,37.9838,23.7275,0,10000,0.0,0.0
2025-10-30T14:16:39.025938,Metaxourgio,21.17,20.86,19.96,22.21,58,4.12,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-30T22:15:40.572447,Metaxourgio,16.41,16.25,14.81,17.64,82,0.45,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-10-31T06:24:46.253437,Metaxourgio,17.0,16.84,15.47,18.18,80,0.89,nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-31T14:16:44.368214,Athens,20.78,20.95,19.76,21.63,78,4.12,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-10-31T22:15:38.043354,Metaxourgio,18.61,18.77,17.4,19.57,86,0.45,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-01T06:22:02.701783,Metaxourgio,19.13,19.32,17.54,20.13,85,2.24,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-01T14:13:41.372285,Metaxourgio,21.14,21.32,19.82,22.19,77,4.63,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-01T22:14:20.261736,Metaxourgio,19.15,19.29,17.77,20.13,83,3.09,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-02T06:23:05.100824,Metaxourgio,18.43,18.63,16.97,19.57,88,0.45,llovizna,37.9838,23.7275,0,10000,0.0,0.0
2025-11-02T14:13:55.334308,Kolonaki,22.29,22.45,20.92,23.46,72,3.09,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-02T22:14:38.685803,Metaxourgio,19.27,19.42,17.54,20.13,83,2.24,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-11-03T06:26:21.255545,Metaxourgio,19.07,19.25,16.84,19.9,85,0.45,cielo claro,37.9838,23.7275,0,10000,0.0,0.0
2025-11-03T14:16:58.994723,Metaxourgio,22.8,23.07,21.61,24.01,74,3.6,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-03T22:16:28.658749,Metaxourgio,18.99,19.29,17.54,20.13,90,0.89,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-04T06:25:30.847644,Metaxourgio,19.69,20.01,18.7,20.68,88,0.45,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-04T14:17:33.135684,Metaxourgio,22.21,22.16,21.07,23.25,64,3.58,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-04T22:15:26.297860,Metaxourgio,18.67,18.73,17.18,19.57,82,5.36,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-05T06:25:24.871845,Metaxourgio,17.36,17.27,15.97,17.9,81,7.2,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-05T06:59:43.763403,Metaxourgio,17.84,17.72,16.84,18.32,78,9.252,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-05T07:15:34.268604,Metaxourgio,17.92,17.8,16.97,18.88,78,25.92,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-05T14:18:40.618097,Metaxourgio,18.11,17.91,16.54,19.29,74,25.92,lluvia ligera,37.9838,23.7275,0,10000,0.0,0.0
2025-11-05T22:17:16.213084,Metaxourgio,16.47,16.39,15.36,17.35,85,22.212,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-11-06T06:26:36.509414,Metaxourgio,16.35,16.21,15.36,17.35,83,22.536,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-06T06:57:47.618154,Metaxourgio,16.55,16.4,15.36,17.68,82,25.92,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-06T07:06:29.286565,Metaxourgio,16.72,16.59,15.36,17.74,82,25.92,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-06T07:18:53.743217,Metaxourgio,16.87,16.78,15.93,17.74,83,25.92,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-06T14:18:45.497595,Metaxourgio,18.39,18.16,17.6,18.79,72,29.628000000000004,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-11-06T22:17:07.399778,Metaxourgio,15.86,15.62,14.62,16.79,81,18.504,nubes dispersas,37.9838,23.7275,0,10000,0.0,0.0
2025-11-07T06:26:19.902265,Metaxourgio,15.6,15.28,13.8,16.57,79,9.252,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-07T14:17:46.739163,Metaxourgio,20.23,19.98,18.71,21.08,64,9.252,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-07T22:16:21.778307,Metaxourgio,15.97,15.79,14.26,17.63,83,1.62,algo de nubes,37.9838,23.7275,0,10000,0.0,0.0
2025-11-08T06:23:18.106900,Metaxourgio,18.6,18.66,17.03,19.41,82,12.96,muy nuboso,37.9838,23.7275,0,10000,0.0,0.0
2025-11-08T21:35:37.869820,Metaxourgio,18.46,18.66,17.4,19.28,88,4.824000000000001,lluvia ligera,37.9838,23.7275,20,10000,0.15,0.0
2025-11-08T22:15:45.190453,Metaxourgio,18.58,18.79,17.4,19.86,88,3.204,lluvia ligera,37.9838,23.7275,20,10000,0.15,0.0
2025-11-09T06:24:05.951250,Metaxourgio,19.91,20.23,18.51,20.96,87,11.268,nubes,37.9838,23.7275,100,10000,0.0,0.0
2025-11-09T14:14:46.508933,Metaxourgio,22.26,22.6,21.43,23.3,79,27.791999999999998,algo de nubes,37.9838,23.7275,20,10000,0.0,0.0
2025-11-09T22:16:04.167771,Kolonaki,20.2,20.39,18.71,21.01,81,16.668,algo de nubes,37.9838,23.7275,20,10000,0.0,0.0
2025-11-10T06:28:16.708146,Kolonaki,20.19,20.3,19.41,20.96,78,14.472,lluvia ligera,37.9838,23.7275,40,10000,0.81,0.0
2025-11-10T06:57:39.505499,Metaxourgio,21.18,21.29,20.32,21.63,74,14.832,lluvia moderada,37.9838,23.7275,40,10000,1.47,0.0
2025-11-10T07:05:56.109405,Metaxourgio,21.4,21.5,20.52,22.14,73,16.668,lluvia moderada,37.9838,23.7275,40,10000,1.47,0.0
