fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:13.490518,Beijing,15.92,14.12,15.92,15.92,21,1.68,cielo claro,39.9042,116.4074
2025-10-27T14:18:42.059261,Beijing,3.92,3.92,3.92,3.92,38,0.65,cielo claro,39.9042,116.4074
2025-10-27T22:16:08.227134,Beijing,-0.08,-2.67,-0.08,-0.08,44,2.1,cielo claro,39.9042,116.4074
2025-10-28T06:26:31.411976,Beijing,14.92,13.33,14.92,14.92,33,0.97,cielo claro,39.9042,116.4074
2025-10-28T06:40:52.623013,Beijing,14.92,13.43,14.92,14.92,37,1.5,cielo claro,39.9042,116.4074
2025-10-28T14:18:29.583593,Beijing,10.92,9.37,10.92,10.92,50,0.51,nubes,39.9042,116.4074
2025-10-28T22:17:11.419574,Beijing,8.92,8.92,8.92,8.92,64,0.91,nubes dispersas,39.9042,116.4074
2025-10-29T06:26:54.074440,Beijing,11.92,10.24,11.92,11.92,41,1.45,muy nuboso,39.9042,116.4074
2025-10-29T06:45:49.410801,Beijing,11.92,10.24,11.92,11.92,41,1.25,algo de nubes,39.9042,116.4074
2025-10-29T06:51:30.618375,Beijing,11.92,10.24,11.92,11.92,41,1.25,algo de nubes,39.9042,116.4074
2025-10-29T06:58:24.329315,Beijing,11.92,10.24,11.92,11.92,41,1.25,algo de nubes,39.9042,116.4074
2025-10-29T07:02:34.266076,Beijing,11.92,10.24,11.92,11.92,41,1.25,algo de nubes,39.9042,116.4074
2025-10-29T07:10:06.450816,Beijing,11.92,10.24,11.92,11.92,41,1.25,algo de nubes,39.9042,116.4074
2025-10-29T14:18:31.946123,Beijing,8.92,8.41,8.92,8.92,56,1.51,nubes dispersas,39.9042,116.4074
2025-10-29T22:16:47.788554,Beijing,7.92,6.97,7.92,7.92,74,1.79,nubes,39.9042,116.4074
2025-10-30T06:25:26.425601,Beijing,14.92,14.03,14.92,14.92,60,3.83,nubes,39.9042,116.4074
2025-10-30T14:17:34.491056,Beijing,8.92,8.92,8.92,8.92,74,1.2,nubes,39.9042,116.4074
2025-10-30T22:16:36.045426,Beijing,8.92,8.92,8.92,8.92,80,0.68,algo de nubes,39.9042,116.4074
2025-10-31T06:25:39.727171,Beijing,15.92,14.17,15.92,15.92,23,5.79,nubes dispersas,39.9042,116.4074
2025-10-31T14:17:39.892136,Beijing,10.92,8.62,10.92,10.92,21,3.5,cielo claro,39.9042,116.4074
2025-10-31T22:16:31.518901,Beijing,1.92,0.39,1.92,1.92,28,1.53,cielo claro,39.9042,116.4074
2025-11-01T06:22:57.880253,Beijing,19.92,18.46,19.92,19.92,19,5.32,cielo claro,39.9042,116.4074
