fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:28.414706,Ceuta,19.49,19.71,19.49,19.49,85,3.41,cielo claro,35.8903,-5.3075
2025-10-27T14:16:53.618482,Ceuta,20.61,21.05,20.61,21.02,89,4.57,nubes dispersas,35.8903,-5.3075
2025-10-27T22:14:23.073975,Ceuta,19.28,19.64,19.28,19.82,91,2.66,algo de nubes,35.8883,-5.3068
2025-10-28T06:24:42.406721,Ceuta,18.73,19.09,18.73,18.82,93,4.2,muy nuboso,35.8883,-5.3068
2025-10-28T06:39:06.970474,Ceuta,18.73,19.09,18.73,18.82,93,4.22,nubes,35.8883,-5.3068
2025-10-28T14:16:36.998788,Ceuta,19.28,19.59,19.28,19.82,89,5.18,nubes,35.8883,-5.3068
2025-10-28T22:15:18.043062,Ceuta,18.17,18.47,18.17,18.82,93,4.25,nubes,35.8883,-5.3068
2025-10-29T06:25:04.929882,Ceuta,19.28,19.64,19.28,19.82,91,2.39,muy nuboso,35.8883,-5.3068
2025-10-29T06:43:54.485012,Ceuta,19.28,19.61,19.28,19.82,90,2.28,nubes,35.8883,-5.3068
2025-10-29T06:49:35.688907,Ceuta,19.28,19.61,19.28,19.82,90,2.28,nubes,35.8883,-5.3068
2025-10-29T06:56:36.430725,Ceuta,19.28,19.61,19.28,19.82,90,2.28,nubes,35.8883,-5.3068
2025-10-29T07:00:46.531601,Ceuta,19.49,19.84,19.49,19.49,90,2.28,nubes,35.8903,-5.3075
2025-10-29T07:08:20.710674,Ceuta,19.84,20.23,19.82,19.84,90,2.28,nubes,35.8883,-5.3068
2025-10-29T14:16:47.311692,Ceuta,19.28,18.91,19.28,19.82,63,14.47,lluvia ligera,35.8883,-5.3068
2025-10-29T22:14:55.519119,Ceuta,19.28,19.48,19.28,19.82,85,7.94,muy nuboso,35.8883,-5.3068
2025-10-30T06:23:40.968881,Ceuta,18.73,18.9,18.73,19.82,86,5.7,cielo claro,35.8883,-5.3068
2025-10-30T14:15:45.958804,Ceuta,24.28,24.62,23.82,24.28,71,8.67,cielo claro,35.8883,-5.3068
2025-10-30T22:14:47.280467,Ceuta,18.73,18.88,18.73,18.82,85,3.48,muy nuboso,35.8883,-5.3068
2025-10-31T06:23:55.056586,Ceuta,15.95,15.72,15.82,15.95,81,2.32,nubes,35.8883,-5.3068
2025-10-31T14:15:51.414688,Ceuta,24.82,25.24,24.82,24.82,72,0.99,nubes,35.8883,-5.3068
2025-10-31T22:14:46.748828,Ceuta,18.73,18.8,18.73,18.82,82,1.58,muy nuboso,35.8883,-5.3068
2025-11-01T06:21:09.899836,Ceuta,15.4,15.22,15.4,15.82,85,2.22,nubes dispersas,35.8883,-5.3068
2025-11-01T14:12:47.981041,Ceuta,24.28,24.59,23.82,24.28,70,3.27,nubes,35.8883,-5.3068
2025-11-01T22:13:27.399026,Ceuta,19.28,19.48,19.28,19.82,85,4.53,muy nuboso,35.8883,-5.3068
2025-11-02T06:22:12.239675,Ceuta,18.94,19.06,18.94,19.02,83,6.47,nubes,35.8903,-5.3075
2025-11-02T14:12:59.359745,Ceuta,23.82,24.24,23.82,23.82,76,7.49,cielo claro,35.8883,-5.3068
2025-11-02T22:13:45.986239,Ceuta,19.49,19.79,19.49,20.02,88,5.09,cielo claro,35.8903,-5.3075
2025-11-03T06:25:26.339302,Ceuta,16.51,15.86,16.51,16.82,63,1.84,nubes dispersas,35.8883,-5.3068
2025-11-03T14:16:06.238786,Ceuta,20.05,20.25,20.02,20.05,82,4.49,cielo claro,35.8903,-5.3075
