fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:28.295706,Inner City,7.94,4.07,6.19,7.94,87,7.72,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-27T14:17:55.104180,Inner City,9.72,7.0,9.52,10.19,82,5.66,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-27T22:15:22.607794,Inner City,6.56,4.32,6.19,6.94,95,3.09,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-28T06:25:44.204694,Inner City,8.94,5.67,8.19,8.94,87,6.69,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-28T06:40:06.914831,Copenhagen,7.94,4.57,7.19,7.94,87,6.17,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-28T14:17:40.799011,Inner City,8.18,5.26,7.94,8.41,88,5.14,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-10-28T22:16:22.320160,Copenhagen,7.94,6.33,6.19,7.94,93,2.57,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T06:26:06.775441,Inner City,9.94,6.81,9.19,9.94,87,7.2,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T06:44:59.608666,Inner City,9.94,6.81,9.19,9.94,87,7.2,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T06:50:40.806287,Copenhagen,9.94,6.81,9.19,9.94,87,7.2,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T06:57:37.602795,Inner City,9.94,6.81,9.19,9.94,87,7.2,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T07:01:48.473019,Copenhagen,9.94,6.81,9.19,9.94,87,7.2,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T07:09:20.619388,Inner City,9.94,6.95,9.19,9.94,93,6.69,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T14:17:46.732557,Inner City,11.07,10.48,10.94,11.19,86,5.66,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-29T22:15:59.101946,Copenhagen,10.79,10.27,10.19,10.94,90,5.66,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-30T06:24:40.704091,Copenhagen,9.92,7.63,9.16,9.92,93,4.63,muy nuboso,55.6819,12.572,0,10000,0.0,0.0
2025-10-30T14:16:47.468255,Inner City,9.44,5.52,8.97,10.19,89,9.77,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-30T22:15:49.014536,Copenhagen,7.94,4.96,6.19,7.94,81,5.14,algo de nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-10-31T06:24:54.469819,Inner City,3.94,2.07,3.94,4.19,100,2.06,bruma,55.6761,12.5683,0,10000,0.0,0.0
2025-10-31T14:16:52.798834,Copenhagen,10.01,9.44,9.94,10.19,91,3.09,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-10-31T22:15:46.168377,Copenhagen,10.5,9.72,9.19,10.94,81,6.17,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-11-01T06:22:11.092197,Copenhagen,8.94,6.02,7.19,8.94,93,5.66,algo de nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-01T14:13:49.862996,Inner City,11.07,10.53,10.94,11.19,88,8.23,algo de nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-01T22:14:28.664147,Inner City,11.07,10.79,10.94,11.19,98,4.12,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-11-02T06:23:13.488529,Inner City,9.94,8.39,9.94,10.19,93,3.09,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-02T14:14:04.236517,Copenhagen,10.94,10.52,10.19,10.94,93,3.6,lluvia ligera,55.6761,12.5683,0,10000,0.0,0.0
2025-11-02T22:14:47.068295,Copenhagen,6.94,5.57,5.19,6.94,100,2.06,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-03T06:26:29.999200,Inner City,7.94,6.33,7.19,7.94,100,2.57,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-03T14:17:07.381038,Inner City,11.07,10.4,10.19,11.19,83,5.14,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-11-03T22:16:36.915911,Copenhagen,10.01,9.6,9.94,10.19,97,7.72,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-11-04T06:25:38.947683,Inner City,11.92,11.62,11.16,11.92,94,6.69,muy nuboso,55.6819,12.572,0,10000,0.0,0.0
2025-11-04T14:17:41.341411,Inner City,12.94,12.59,12.94,13.19,88,5.14,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-04T22:15:34.513465,Copenhagen,11.94,11.46,11.94,12.19,87,5.66,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-05T06:25:33.717203,Copenhagen,10.94,10.36,10.94,11.19,87,5.66,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-05T07:00:00.749030,Inner City,10.94,10.36,10.94,11.19,87,22.212,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-05T07:15:52.113380,Copenhagen,10.94,10.36,10.94,11.19,87,20.376,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-05T14:18:57.772152,Copenhagen,12.12,11.58,11.94,12.3,84,16.668,nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-05T22:17:33.181079,Inner City,10.94,10.36,10.19,10.94,87,7.416,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-11-06T06:26:53.679355,Inner City,10.94,10.52,9.19,10.94,93,14.832,muy nuboso,55.6761,12.5683,0,10000,0.0,0.0
2025-11-06T06:58:05.644229,Inner City,10.94,10.36,9.19,10.94,87,12.96,nubes dispersas,55.6761,12.5683,0,10000,0.0,0.0
2025-11-06T07:06:45.909058,Inner City,9.94,8.39,9.19,9.94,93,11.124,nubes dispersas,55.6761,12.5683,0,10000,0.0,0.0
2025-11-06T07:19:10.219790,Inner City,9.94,8.39,9.19,9.94,93,11.124,nubes dispersas,55.6761,12.5683,0,10000,0.0,0.0
2025-11-06T14:19:02.649031,Inner City,12.41,11.72,11.19,12.86,77,16.668,nubes dispersas,55.6761,12.5683,0,10000,0.0,0.0
2025-11-06T22:17:24.485678,Inner City,8.67,6.57,8.19,8.94,93,12.96,algo de nubes,55.6761,12.5683,0,10000,0.0,0.0
2025-11-07T06:26:36.329700,Inner City,8.94,6.42,8.19,8.94,93,16.668,niebla,55.6761,12.5683,0,10000,0.0,0.0
