fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:31.903519,Cuenca,8.36,7.08,8.36,8.36,40,2.24,cielo claro,40.0704,-2.1374
2025-10-27T14:16:57.226069,Cuenca,18.36,17.06,18.36,18.36,31,4.2,cielo claro,40.0704,-2.1374
2025-10-27T22:14:26.590813,Cuenca,8.04,8.04,8.04,8.04,70,1.14,cielo claro,40.0704,-2.1374
2025-10-28T06:24:46.039267,Cuenca,5.48,5.48,5.48,5.48,63,1.04,cielo claro,40.0704,-2.1374
2025-10-28T06:39:10.497712,Cuenca,6.81,6.81,6.81,6.81,56,0.55,cielo claro,40.0704,-2.1374
2025-10-28T14:16:40.749777,Cuenca,20.02,18.7,20.02,20.02,24,3.3,nubes,40.0704,-2.1374
2025-10-28T22:15:21.838972,Cuenca,13.36,12,13.36,13.36,48,2.91,nubes,40.0704,-2.1374
2025-10-29T06:25:08.560474,Cuenca,12.8,12.15,12.8,12.8,77,5.45,nubes,40.0704,-2.1374
2025-10-29T06:43:58.311646,Cuenca,13.36,12.71,13.36,13.36,75,5.48,nubes,40.0704,-2.1374
2025-10-29T06:49:39.511398,Cuenca,13.36,12.71,13.36,13.36,75,5.48,nubes,40.0704,-2.1374
2025-10-29T06:56:40.033743,Cuenca,12.8,12.12,12.8,12.8,76,5.48,nubes,40.0704,-2.1374
2025-10-29T07:00:50.073138,Cuenca,12.8,12.12,12.8,12.8,76,5.48,nubes,40.0704,-2.1374
2025-10-29T07:08:24.250535,Cuenca,12.8,12.12,12.8,12.8,76,5.48,nubes,40.0704,-2.1374
2025-10-29T14:16:50.817435,Cuenca,14.47,13.88,14.47,14.47,73,5.95,nubes,40.0704,-2.1374
2025-10-29T22:14:59.277461,Cuenca,13.36,12.58,13.36,13.36,70,2.37,nubes,40.0704,-2.1374
2025-10-30T06:23:44.483346,Cuenca,8.42,8.42,8.42,8.42,94,0.9,nubes dispersas,40.0704,-2.1374
2025-10-30T14:15:49.580987,Cuenca,15.02,14.17,15.02,15.02,61,4.41,algo de nubes,40.0704,-2.1374
2025-10-30T22:14:50.945407,Cuenca,13.91,13.08,13.91,13.91,66,1,nubes,40.0704,-2.1374
2025-10-31T06:23:58.549417,Cuenca,12.8,11.89,12.8,12.8,67,1.53,nubes,40.0704,-2.1374
2025-10-31T14:15:55.027364,Cuenca,16.69,15.88,16.69,16.69,56,5.13,nubes,40.0704,-2.1374
2025-10-31T22:14:50.233190,Cuenca,13.91,12.98,13.91,13.91,62,1.64,nubes,40.0704,-2.1374
2025-11-01T06:21:13.503983,Cuenca,9.22,8.27,9.22,9.22,95,2.02,nubes,40.0704,-2.1374
2025-11-01T14:12:51.624262,Cuenca,17.25,16.28,17.25,17.25,48,4.82,nubes,40.0704,-2.1374
2025-11-01T22:13:30.991920,Cuenca,15.58,14.58,15.58,15.58,53,3.47,nubes,40.0704,-2.1374
2025-11-02T06:22:15.865654,Cuenca,12.8,11.99,12.8,12.8,71,6.58,nubes,40.0704,-2.1374
2025-11-02T14:13:03.178931,Cuenca,16.69,15.54,16.69,16.69,43,6.3,nubes,40.0704,-2.1374
2025-11-02T22:13:49.591537,Cuenca,10.58,9.03,10.58,10.58,51,1.32,muy nuboso,40.0704,-2.1374
2025-11-03T06:25:30.088633,Cuenca,5.23,5.23,5.23,5.23,84,1.28,muy nuboso,40.0704,-2.1374
2025-11-03T14:16:09.835334,Cuenca,18.91,17.54,18.91,18.91,26,2.31,cielo claro,40.0704,-2.1374
2025-11-03T22:15:39.474392,Cuenca,12.25,10.68,12.25,12.25,44,1.54,cielo claro,40.0704,-2.1374
2025-11-04T06:24:43.209311,Cuenca,8.91,7.9,8.91,8.91,72,2.03,algo de nubes,40.0704,-2.1374
2025-11-04T14:16:44.949206,Cuenca,18.36,17.4,18.36,18.36,44,3.82,nubes dispersas,40.0704,-2.1374
2025-11-04T22:14:37.997570,Cuenca,11.69,10.61,11.69,11.69,65,2.66,nubes dispersas,40.0704,-2.1374
2025-11-05T06:24:33.064264,Cuenca,9.47,7.82,9.47,9.47,78,3.09,nubes,40.0704,-2.1374
2025-11-05T06:58:04.379994,Cuenca,9.47,7.69,9.47,9.47,79,11.952,nubes,40.0704,-2.1374
2025-11-05T07:13:50.017565,Cuenca,9.47,7.69,9.47,9.47,78,11.952,nubes,40.0704,-2.1374
2025-11-05T14:16:59.940307,Cuenca,13.36,12.4,13.36,13.36,63,27.468,nubes,40.0704,-2.1374
2025-11-05T22:15:36.422073,Cuenca,12.25,11.57,12.25,12.25,78,21.024,lluvia ligera,40.0704,-2.1374
2025-11-06T06:24:55.745637,Cuenca,7.25,3,7.25,7.25,73,30.024,muy nuboso,40.0704,-2.1374
2025-11-06T06:56:01.923580,Cuenca,6.69,2.37,6.69,6.69,74,28.764000000000003,nubes,40.0704,-2.1374
2025-11-06T07:04:51.413157,Cuenca,6.62,2.28,6.62,6.62,74,28.764000000000003,nubes,40.0745,-2.1352
