fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:24.919520,Cáceres,9.4,8.55,9.4,9.4,76,1.93,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-27T14:16:50.010701,Cáceres,20.95,20.04,20.95,20.95,36,1.02,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-27T22:14:19.537988,Cáceres,13.5,12.24,13.5,13.5,51,2.03,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-28T06:24:38.779579,Cáceres,11.33,10.16,11.33,11.33,63,1.89,muy nuboso,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-28T06:39:03.443136,Cáceres,11.85,10.68,11.85,11.85,61,2.04,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-28T14:16:33.239181,Cáceres,21.29,20.75,21.29,21.29,49,4.43,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-28T22:15:14.285302,Cáceres,14.42,14.29,14.42,14.42,91,3.88,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T06:25:01.287538,Cáceres,12.63,12.43,12.63,12.63,95,2.35,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T06:43:50.655563,Cáceres,13.24,12.97,13.24,13.24,90,2.57,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T06:49:31.858092,Cáceres,13.24,12.97,13.24,13.24,90,2.57,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T06:56:32.830564,Cáceres,13.24,12.97,13.24,13.24,90,2.57,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T07:00:43.013164,Cáceres,13.24,12.97,13.24,13.24,90,2.57,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T07:08:17.191799,Cáceres,13.24,12.97,13.24,13.24,90,2.57,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T14:16:43.806406,Cáceres,18.3,17.88,18.3,18.3,65,2.25,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-29T22:14:51.771409,Cáceres,12.91,12.53,12.91,12.91,87,1.33,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-30T06:23:37.453424,Cáceres,10.88,10.48,10.88,10.88,94,1.93,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-30T14:15:42.335640,Cáceres,17.7,17.04,17.7,17.7,58,5.21,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-30T22:14:43.678170,Cáceres,13.95,13.2,13.95,13.95,69,1.44,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-31T06:23:51.573953,Cáceres,13.92,13.3,13.92,13.92,74,4.34,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-31T14:15:47.795328,Cáceres,18.19,17.63,18.19,18.19,60,6.3,lluvia ligera,39.4731,-6.3711,0,10000,0.0,0.0
2025-10-31T22:14:43.258398,Cáceres,16.21,15.84,16.21,16.21,75,6.3,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-01T06:21:06.299836,Cáceres,13.69,13.49,13.69,13.69,91,5.27,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-01T14:12:44.343143,Cáceres,17.15,16.88,17.15,17.15,75,4.25,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-01T22:13:23.803422,Cáceres,14.76,14.67,14.76,14.76,91,2.01,lluvia ligera,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-02T06:22:08.652800,Cáceres,9.62,8.6,9.62,9.62,94,2.19,muy nuboso,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-02T14:12:55.540405,Cáceres,17.64,16.53,17.64,17.64,41,3.49,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-02T22:13:42.406817,Cáceres,10.87,9.79,10.87,10.87,68,1.11,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-03T06:25:22.606803,Cáceres,6.9,6.21,6.9,6.9,83,1.42,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-03T14:16:02.651267,Cáceres,19.95,18.84,19.95,19.95,32,2.57,cielo claro,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-03T22:15:32.435311,Cáceres,11.71,10.37,11.71,11.71,55,1.38,nubes,39.4731,-6.3711,0,10000,0.0,0.0
2025-11-04T06:24:36.216539,Cáceres,8.99,8.17,8.99,8.99,72,1.83,muy nuboso,39.4731,-6.3711,0,10000,0.0,0.0
