fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:26.080753,Cadiz,19.06,19.63,18.44,19.06,100,3.09,muy nuboso,36.5298,-6.2926
2025-10-27T14:16:51.205529,Cadiz,23.06,23.59,23.06,24.55,83,4.12,algo de nubes,36.5298,-6.2926
2025-10-27T22:14:20.728557,Cadiz,19.06,19.63,19.06,20.67,100,1.03,cielo claro,36.5298,-6.2926
2025-10-28T06:24:39.991326,Cadiz,17.06,17.28,16.78,17.06,94,4.12,cielo claro,36.5298,-6.2926
2025-10-28T06:39:04.619476,Cadiz,17.06,17.28,16.78,17.06,94,4.12,cielo claro,36.5298,-6.2926
2025-10-28T14:16:34.494595,Cadiz,23.06,23.33,22.33,23.06,73,4.63,lluvia moderada,36.5298,-6.2926
2025-10-28T22:15:15.530332,Cadiz,20.04,20.55,20.04,20.09,94,6.17,lluvia ligera,36.527,-6.289
2025-10-29T06:25:02.498123,Cadiz,21.06,21.68,20.11,21.06,94,7.72,muy nuboso,36.5298,-6.2926
2025-10-29T06:43:51.929916,Cadiz,21.06,21.68,20.11,21.06,94,7.72,muy nuboso,36.5298,-6.2926
2025-10-29T06:49:33.133759,Cadiz,21.06,21.68,20.11,21.06,94,7.72,muy nuboso,36.5298,-6.2926
2025-10-29T06:56:34.031930,Cadiz,21.04,21.65,20.09,21.04,94,7.72,muy nuboso,36.527,-6.289
2025-10-29T07:00:44.187404,Cadiz,21.06,21.68,20.11,21.06,94,7.72,muy nuboso,36.5298,-6.2926
2025-10-29T07:08:18.363270,Cadiz,21.06,21.68,20.11,21.06,94,7.72,muy nuboso,36.5298,-6.2926
2025-10-29T14:16:44.987277,Cadiz,23.06,23.59,22.33,23.06,83,12.35,nubes,36.5298,-6.2926
2025-10-29T22:14:53.037103,Cadiz,21.06,21.68,20.67,21.06,94,4.12,cielo claro,36.5298,-6.2926
2025-10-30T06:23:38.622413,Cadiz,18.06,18.53,17.89,18.06,100,2.06,muy nuboso,36.5298,-6.2926
2025-10-30T14:15:43.549086,Cadiz,21.06,21.39,21.06,22.89,83,3.09,algo de nubes,36.5298,-6.2926
2025-10-30T22:14:44.876491,Cadiz,19.06,19.16,17.89,19.06,82,1.54,cielo claro,36.5298,-6.2926
2025-10-31T06:23:52.736888,Cadiz,19.06,19.48,16.22,19.06,94,3.09,algo de nubes,36.5298,-6.2926
2025-10-31T14:15:49.005161,Cadiz,23.06,22.99,23.06,24,60,3.6,nubes dispersas,36.5298,-6.2926
2025-10-31T22:14:44.418809,Cadiz,17.06,17.28,17.06,18.44,94,0.51,algo de nubes,36.5298,-6.2926
2025-11-01T06:21:07.509057,Cadiz,15.06,15.23,14,15.06,100,2.57,algo de nubes,36.5298,-6.2926
2025-11-01T14:12:45.553017,Cadiz,22.06,22.23,22.06,23.44,73,3.6,nubes dispersas,36.5298,-6.2926
2025-11-01T22:13:25.000409,Cadiz,18.06,18.22,17.89,18.06,88,0,cielo claro,36.5298,-6.2926
2025-11-02T06:22:09.850752,Cadiz,17.06,17.43,16.78,17.06,100,1.54,muy nuboso,36.5298,-6.2926
2025-11-02T14:12:56.811781,Cadiz,23.06,23.2,23.06,23.44,68,3.6,algo de nubes,36.5298,-6.2926
2025-11-02T22:13:43.598910,Cadiz,18.04,17.54,18.04,18.42,63,2.06,cielo claro,36.527,-6.289
2025-11-03T06:25:23.850319,Cadiz,13.06,12.56,12.89,13.06,82,2.57,cielo claro,36.5298,-6.2926
2025-11-03T14:16:03.841714,Cadiz,24.04,23.88,24.04,25.65,53,1.54,algo de nubes,36.527,-6.289
2025-11-03T22:15:33.605383,Cadiz,19.06,19.16,17.89,19.06,82,4.63,cielo claro,36.5298,-6.2926
2025-11-04T06:24:37.375680,Cadiz,15.06,14.92,15.06,15.11,88,2.57,cielo claro,36.5298,-6.2926
