fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:19.575778,Mermoz Boabab,27.73,32.75,27.73,27.88,89,1.03,cielo claro,14.7167,-17.4677
2025-10-27T14:19:50.762361,Mermoz Boabab,31.88,38.88,31.88,31.88,70,3.09,algo de nubes,14.7167,-17.4677
2025-10-27T22:17:14.684872,Mermoz Boabab,28.84,35.84,28.84,28.88,88,4.12,nubes dispersas,14.7167,-17.4677
2025-10-28T06:27:40.405168,Mermoz Boabab,27.73,33.06,27.73,27.73,91,0.89,cielo claro,14.7167,-17.4677
2025-10-28T06:41:59.766466,Mermoz Boabab,27.73,33.06,27.73,27.88,91,2.06,algo de nubes,14.7167,-17.4677
2025-10-28T14:19:40.887727,Mermoz Boabab,31.88,38.88,31.88,31.88,74,4.12,cielo claro,14.7167,-17.4677
2025-10-28T22:18:23.193073,Mermoz Boabab,29.39,36.39,28.88,29.39,89,2.06,cielo claro,14.7167,-17.4677
2025-10-29T06:28:03.329386,Mermoz Boabab,28.28,34.45,27.88,28.28,89,2.06,muy nuboso,14.7167,-17.4677
2025-10-29T06:47:02.114720,Mermoz Boabab,27.73,32.75,27.73,27.88,89,2.06,muy nuboso,14.7167,-17.4677
2025-10-29T06:52:43.334488,Mermoz Boabab,27.73,32.75,27.73,27.88,89,2.06,muy nuboso,14.7167,-17.4677
2025-10-29T06:59:32.636198,Mermoz Boabab,27.73,32.75,27.73,27.88,89,2.06,muy nuboso,14.7167,-17.4677
2025-10-29T07:03:41.223526,Mermoz Boabab,27.73,32.75,27.73,27.88,89,2.06,muy nuboso,14.7167,-17.4677
2025-10-29T07:11:13.341116,Mermoz Boabab,27.73,32.75,27.73,27.73,89,1.34,cielo claro,14.7167,-17.4677
2025-10-29T14:19:38.099825,Mermoz Boabab,31.06,38.06,31.06,31.06,75,3.13,nubes,14.7167,-17.4677
2025-10-29T22:17:58.964537,Mermoz Boabab,28.84,35.37,28.84,28.88,85,1.79,nubes,14.7167,-17.4677
2025-10-30T06:26:33.234036,Mermoz Boabab,27.73,32.75,27.73,27.73,89,4.2,muy nuboso,14.7167,-17.4677
2025-10-30T14:18:43.039994,Mermoz Boabab,31.06,38.06,30.88,31.06,74,3.09,muy nuboso,14.7167,-17.4677
2025-10-30T22:17:44.612449,Mermoz Boabab,28.28,33.52,27.88,28.28,84,2.06,algo de nubes,14.7167,-17.4677
2025-10-31T06:26:45.854552,Mermoz Boabab,26.62,26.62,26.62,26.62,88,1.34,nubes dispersas,14.7167,-17.4677
2025-10-31T14:18:48.511194,Mermoz Boabab,30.51,37.51,30.51,30.88,76,5.14,muy nuboso,14.7167,-17.4677
2025-10-31T22:17:37.745760,Mermoz Boabab,27.73,32.15,27.73,27.88,85,2.06,algo de nubes,14.7167,-17.4677
2025-11-01T06:24:06.193683,Mermoz Boabab,26.62,26.62,26.62,26.88,88,1.03,muy nuboso,14.7167,-17.4677
2025-11-01T14:15:46.373169,Mermoz Boabab,31.06,38.06,31.06,31.06,76,3.13,nubes,14.7167,-17.4677
2025-11-01T22:16:23.754264,Mermoz Boabab,28.28,33.52,28.28,28.28,84,0.45,nubes dispersas,14.7167,-17.4677
2025-11-02T06:25:08.561959,Mermoz Boabab,27.17,30.88,27.17,27.88,87,2.06,algo de nubes,14.7167,-17.4677
2025-11-02T14:16:06.349440,Mermoz Boabab,31.06,38.06,31.06,31.06,73,1.79,nubes dispersas,14.7167,-17.4677
2025-11-02T22:16:42.442266,Mermoz Boabab,28.28,34.26,28.28,28.88,88,1.03,cielo claro,14.7167,-17.4677
2025-11-03T06:28:29.747533,Mermoz Boabab,27.17,31.34,27.17,27.88,91,2.06,nubes dispersas,14.7167,-17.4677
2025-11-03T14:19:02.501398,Mermoz Boabab,33.88,40.88,33.88,33.88,59,4.12,cielo claro,14.7167,-17.4677
2025-11-03T22:18:29.642822,Mermoz Boabab,29.39,36.39,29.39,29.88,83,2.06,algo de nubes,14.7167,-17.4677
2025-11-04T06:27:30.449440,Mermoz Boabab,28.28,34.45,27.88,28.28,89,2.06,nubes dispersas,14.7167,-17.4677
2025-11-04T14:19:34.312824,Mermoz Boabab,32.88,37.54,32.88,32.88,55,4.12,cielo claro,14.7167,-17.4677
2025-11-04T22:17:27.337193,Mermoz Boabab,28.84,35.15,28.84,28.88,84,3.09,algo de nubes,14.7167,-17.4677
2025-11-05T06:27:34.333882,Mermoz Boabab,27.17,31.11,27.17,27.88,89,2.06,cielo claro,14.7167,-17.4677
2025-11-05T07:03:53.622559,Mermoz Boabab,27.17,31.11,27.17,27.88,89,7.416,cielo claro,14.7167,-17.4677
2025-11-05T07:19:56.712561,Mermoz Boabab,27.17,31.11,27.17,27.17,89,1.62,cielo claro,14.7167,-17.4677
2025-11-05T14:22:53.398086,Mermoz Boabab,31.62,38.62,31.62,31.88,73,14.832,cielo claro,14.7167,-17.4677
2025-11-05T22:21:26.619649,Mermoz Boabab,28.84,33.69,27.88,28.84,77,7.416,algo de nubes,14.7167,-17.4677
2025-11-06T06:30:49.523412,Mermoz Boabab,27.17,30.33,24.88,27.17,82,7.416,cielo claro,14.7167,-17.4677
2025-11-06T07:02:13.300850,Mermoz Boabab,27.73,31.43,24.88,27.73,80,7.416,cielo claro,14.7167,-17.4677
