fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:18.143626,Mongkok,20.92,21.44,20.92,24.86,91,2.23,nubes,22.3193,114.1694
2025-10-27T14:18:46.886589,Mongkok,23.53,23.82,21.75,23.94,72,2.24,nubes,22.3193,114.1694
2025-10-27T22:16:12.901552,Mongkok,21.31,21.59,19.81,22.7,80,2.68,nubes,22.3193,114.1694
2025-10-28T06:26:36.249099,Mongkok,22.96,23.24,21.75,23.91,74,3.58,nubes,22.3193,114.1694
2025-10-28T06:40:57.301422,Mongkok,22.92,23.23,21.75,23.44,75,3.58,nubes,22.3193,114.1694
2025-10-28T14:18:34.591203,Mongkok,22.79,23.19,22.3,22.89,79,4.02,nubes,22.3193,114.1694
2025-10-28T22:17:16.457731,Mongkok,22.08,22.51,20.93,22.89,83,4.02,nubes,22.3193,114.1694
2025-10-29T06:26:58.930551,Mongkok,26.62,26.62,25.58,26.86,57,4.92,nubes,22.3193,114.1694
2025-10-29T06:45:54.534219,Mongkok,25.67,25.89,25.02,26.59,61,4.47,nubes,22.3193,114.1694
2025-10-29T06:51:35.716338,Mongkok,25.64,25.85,25.58,26.03,61,4.47,nubes,22.3193,114.1694
2025-10-29T06:58:29.113496,Mongkok,25.62,25.83,25.02,26.03,61,4.47,nubes,22.3193,114.1694
2025-10-29T07:02:38.971330,Mongkok,25.64,25.85,25.02,26.59,61,4.47,nubes,22.3193,114.1694
2025-10-29T07:10:11.156317,Mongkok,25.62,25.83,25.02,26.03,61,4.92,nubes,22.3193,114.1694
2025-10-29T14:18:36.585433,Mongkok,25.09,25.56,24.36,25.93,73,4.02,nubes,22.3193,114.1694
2025-10-29T22:16:52.857201,Mongkok,24.75,25.24,23.97,25.05,75,3.13,nubes,22.3193,114.1694
2025-10-30T06:25:31.123338,Mongkok,27.43,28.56,26.78,28.35,59,4.02,nubes,22.3193,114.1694
2025-10-30T14:17:39.303577,Mongkok,25.9,26.53,25.11,26.86,76,1.79,nubes,22.3193,114.1694
2025-10-30T22:16:40.871574,Mongkok,24.74,25.2,23.97,25.05,74,1.34,algo de nubes,22.3193,114.1694
2025-10-31T06:25:44.369984,Mongkok,28.57,30.89,27.89,29.36,64,4.92,algo de nubes,22.3193,114.1694
2025-10-31T14:17:44.716487,Mongkok,25.87,26.08,24.36,26.86,60,4.47,nubes,22.3193,114.1694
2025-10-31T22:16:36.173709,Mongkok,22.37,22.39,21.48,23.35,66,2.24,muy nuboso,22.3193,114.1694
2025-11-01T06:23:02.683728,Mongkok,24.69,24.89,24,25.58,64,3.58,muy nuboso,22.3193,114.1694
2025-11-01T14:14:42.058841,Mongkok,24.51,24.71,23.41,25.58,65,2.24,nubes,22.3193,114.1694
2025-11-01T22:15:20.253318,Mongkok,23.08,23.25,21.19,24.46,69,4.92,nubes dispersas,22.3193,114.1694
2025-11-02T06:24:05.060630,Mongkok,26.93,27.92,26.72,28.35,59,4.02,nubes dispersas,22.3193,114.1694
2025-11-02T14:14:58.898265,Mongkok,24.09,24.33,22.89,25.58,68,3.58,muy nuboso,22.3193,114.1694
2025-11-02T22:15:38.925500,Mongkok,22.51,22.51,21.59,22.86,65,5.36,nubes,22.3193,114.1694
2025-11-03T06:27:23.695853,Mongkok,24.96,24.82,23.91,25.05,50,5.81,lluvia de gran intensidad,22.3193,114.1694
2025-11-03T14:17:58.906787,Mongkok,22.25,22.25,21.19,22.86,66,4.47,lluvia ligera,22.3193,114.1694
2025-11-03T22:17:27.360680,Mongkok,20.29,20.23,19.36,20.86,71,3.58,nubes,22.3193,114.1694
2025-11-04T06:26:28.938633,Mongkok,20.7,20.68,19.36,21.22,71,5.36,nubes,22.3193,114.1694
2025-11-04T14:18:31.827050,Mongkok,21.18,21.34,20.08,21.86,76,3.58,nubes,22.3193,114.1694
2025-11-04T22:16:25.113757,Mongkok,20.58,20.81,19.92,21.48,81,4.02,muy nuboso,22.3193,114.1694
2025-11-05T06:26:27.827921,Mongkok,24.75,24.95,23.44,27.14,64,4.92,nubes,22.3193,114.1694
2025-11-05T07:01:45.260244,Mongkok,24.71,24.96,23.44,27.04,66,20.916,nubes,22.3193,114.1694
2025-11-05T07:17:41.602535,Mongkok,24.66,24.9,23.44,26.59,66,20.916,nubes,22.3193,114.1694
2025-11-05T14:20:43.203769,Mongkok,23.44,23.75,22.7,24.46,73,8.064000000000002,nubes,22.3193,114.1694
2025-11-05T22:19:17.662326,Mongkok,22.25,22.65,20.37,22.89,81,12.888,nubes,22.3193,114.1694
2025-11-06T06:28:39.292747,Mongkok,28.19,30.62,27.14,29.26,67,28.296000000000003,muy nuboso,22.3193,114.1694
2025-11-06T06:59:56.486143,Mongkok,27.79,29.25,27.24,28.71,61,16.092,cielo claro,22.3193,114.1694
