fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:36.532526,Huelva,16.59,16.55,16.59,18.3,86,3.13,lluvia moderada,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-27T14:17:02.036262,Huelva,21.59,21.66,21.59,22.75,71,1.79,algo de nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-27T22:14:31.325078,Huelva,19.36,19.41,18.3,19.36,79,0.45,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-28T06:24:50.880921,Huelva,17.14,17.18,15.53,17.14,87,0.45,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-28T06:39:15.201651,Huelva,17.14,17.18,15.53,17.14,87,0.45,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-28T14:16:45.750844,Huelva,21.59,21.74,19.97,21.59,74,4.92,lluvia de gran intensidad,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-28T22:15:26.878768,Huelva,19.36,19.52,19.36,19.41,83,4.02,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T06:25:13.401987,Huelva,19.92,20.13,19.92,20.53,83,3.13,lluvia moderada,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T06:44:03.441447,Huelva,20.48,20.75,19.97,20.48,83,2.24,lluvia moderada,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T06:49:44.606785,Huelva,19.92,20.13,18.86,19.92,83,1.79,lluvia de gran intensidad,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T06:56:44.832061,Huelva,19.92,20.13,18.86,19.92,83,1.79,lluvia de gran intensidad,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T07:00:54.770597,Huelva,19.36,19.52,18.86,19.36,83,3.13,lluvia de gran intensidad,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T07:08:28.965861,Huelva,19.36,19.52,18.3,19.36,83,3.13,lluvia de gran intensidad,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T14:16:55.468165,Huelva,22.14,22.32,19.41,22.14,73,2.68,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-29T22:15:04.248447,Huelva,19.36,19.36,19.36,19.41,77,1.34,nubes dispersas,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-30T06:23:49.165938,Huelva,16.03,15.88,16.03,16.08,84,1.34,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-30T14:15:54.411878,Huelva,20.48,20.46,20.48,21.08,72,3.58,muy nuboso,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-30T22:14:55.773012,Huelva,19.36,19.36,19.36,19.41,77,1.79,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-31T06:24:03.208795,Huelva,17.14,17.08,17.14,19.41,83,3.73,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-31T14:15:59.859614,Huelva,21.59,21.37,21.59,22.75,60,4.92,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-10-31T22:14:54.899550,Huelva,20.48,20.31,19.97,20.48,66,0.89,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-01T06:21:18.304374,Huelva,15.48,15.12,15.48,19.41,78,0.89,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-01T14:12:56.463336,Huelva,21.59,21.37,21.59,21.64,60,5.36,nubes dispersas,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-01T22:13:35.800965,Huelva,18.81,18.7,18.81,20.53,75,3.5,muy nuboso,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-02T06:22:20.645205,Huelva,17.7,17.72,17.19,17.7,84,2.93,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-02T14:13:08.267478,Huelva,23.25,22.99,22.75,23.25,52,1.34,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-02T22:13:54.370284,Huelva,16.03,14.94,14.41,16.03,48,1.79,muy nuboso,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-03T06:25:35.068059,Huelva,11.03,9.83,11.03,11.03,63,0.45,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-03T14:16:14.623549,Huelva,23.81,23.29,21.64,23.81,40,0.89,nubes dispersas,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-03T22:15:44.183454,Huelva,16.03,15.41,16.03,16.08,66,0.89,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-04T06:24:47.863950,Huelva,13.25,12.48,13.25,13.86,71,0.45,muy nuboso,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-04T14:16:49.639347,Huelva,23.81,23.55,23.3,23.81,50,3.13,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-04T22:14:42.677879,Huelva,18.81,18.23,18.81,19.97,57,1.34,lluvia moderada,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-05T06:24:38.133991,Huelva,17.7,17.17,16.08,17.7,63,0.45,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-05T06:58:14.085296,Huelva,17.14,16.53,16.08,17.14,62,1.62,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-05T07:14:00.144560,Huelva,17.14,16.55,17.14,17.14,63,9.648,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-05T14:17:09.822015,Huelva,22.14,22.03,21.64,22.14,62,30.564,algo de nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-05T22:15:46.165957,Huelva,16.59,15.74,16.59,17.75,55,1.62,nubes dispersas,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-06T06:25:05.549976,Huelva,13.25,12.28,12.75,13.25,63,15.803999999999998,muy nuboso,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-06T06:56:12.215856,Huelva,13.25,12.28,12.75,13.25,63,13.464,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-06T07:05:00.913701,Huelva,12.7,11.67,12.7,12.75,63,1.62,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-06T07:17:26.677479,Huelva,12.7,11.67,12.7,12.75,63,1.62,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-06T14:17:14.739654,Huelva,21.03,20.18,20.53,21.03,38,8.064000000000002,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-06T22:15:36.735033,Huelva,15.48,14.55,13.86,15.48,56,3.204,algo de nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-07T06:24:52.931623,Huelva,11.03,9.91,11.03,11.03,66,7.668,algo de nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-07T14:16:19.325644,Huelva,19.36,18.79,18.86,19.36,55,16.092,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-07T22:14:53.851375,Huelva,17.7,17.43,17.7,17.75,73,12.888,nubes,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-08T06:21:50.013496,Huelva,13.81,13.18,12.75,13.81,74,4.824000000000001,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-08T21:34:02.741061,Huelva,14.92,13.83,13.86,14.92,52,4.824000000000001,muy nuboso,37.2614,-6.9447,65,10000,0.0,0.0
2025-11-08T22:14:08.892532,Huelva,14.36,13.24,13.3,14.36,53,1.62,muy nuboso,37.2614,-6.9447,65,10000,0.0,0.0
2025-11-09T06:22:30.644282,Huelva,9.92,9.28,9.92,9.92,63,6.444,algo de nubes,37.2614,-6.9447,22,10000,0.0,0.0
2025-11-09T14:13:10.312150,Huelva,21.03,20.02,19.97,21.03,32,3.204,nubes,37.2614,-6.9447,100,10000,0.0,0.0
2025-11-09T22:14:33.351610,Huelva,15.48,14.39,13.86,15.48,50,3.204,nubes,37.2614,-6.9447,100,10000,0.0,0.0
2025-11-10T06:26:47.495165,Huelva,10.48,9.23,10.48,10.48,63,3.204,muy nuboso,37.2614,-6.9447,51,10000,0.0,0.0
2025-11-10T06:56:09.992876,Huelva,9.92,9.92,9.92,9.92,64,3.204,nubes,37.2614,-6.9447,100,10000,0.0,0.0
2025-11-10T07:04:19.598040,Huelva,9.92,9.92,9.92,9.92,64,1.62,nubes,37.2614,-6.9447,100,10000,0.0,0.0
2025-11-10T14:17:21.194249,Huelva,21.03,20.29,19.41,21.03,42,4.824000000000001,cielo claro,37.2614,-6.9447,3,10000,0.0,0.0
2025-11-10T22:16:20.017703,Huelva,14.36,13.6,14.36,14.36,67,3.204,muy nuboso,37.2614,-6.9447,82,10000,0.0,0.0
2025-11-11T06:25:18.991656,Huelva,11.11,10.37,11.11,11.11,80,11.052,nubes,37.2614,-6.9447,100,10000,0.0,0.0
2025-11-11T14:16:34.022083,Huelva,20.48,19.81,19.41,20.48,47,9.648000000000001,muy nuboso,37.2614,-6.9447,72,10000,0.0,0.0
2025-11-11T22:15:55.771333,Huelva,14.92,13.93,14.92,16.08,56,3.204,nubes dispersas,37.2614,-6.9447,25,10000,0.0,0.0
2025-11-12T06:25:09.150102,Huelva,18.81,18.52,18.81,18.86,68,14.472,algo de nubes,37.2614,-6.9447,15,10000,0.0,0.0
2025-11-12T14:17:31.239116,Huelva,21.03,20.83,20.53,21.03,63,22.536,nubes,37.2614,-6.9447,99,10000,0.0,0.0
2025-11-12T22:16:07.333434,Huelva,19.36,19.18,19.36,19.41,70,12.888,muy nuboso,37.2614,-6.9447,84,10000,0.0,0.0
2025-11-13T06:25:31.177212,Huelva,19.36,19.02,19.36,19.97,64,25.740000000000002,lluvia ligera,37.2614,-6.9447,95,5886,0.17,0.0
2025-11-13T06:43:20.076267,Huelva,19.92,19.59,19.92,20.53,62,32.184,lluvia ligera,37.2614,-6.9447,100,7330,0.14,0.0
2025-11-13T06:57:43.018305,Huelva,20.48,20.18,20.48,20.53,61,35.388,nubes,37.2614,-6.9447,100,7330,0.0,0.0
2025-11-13T07:21:29.122891,Huelva,20.48,20.18,19.97,20.48,61,28.980000000000004,lluvia moderada,37.2614,-6.9447,100,7330,2.92,0.0
2025-11-13T07:30:14.065792,Huelva,20.48,20.18,19.41,20.48,61,28.980000000000004,lluvia de gran intensidad,37.2614,-6.9447,100,10000,4.86,0.0
2025-11-13T14:16:40.934787,Huelva,19.92,19.61,19.92,19.97,63,32.184,nubes,37.2614,-6.9447,100,9532,0.0,0.0
2025-11-13T22:16:41.719750,Huelva,17.7,17.25,17.7,18.3,66,33.804,lluvia ligera,37.2614,-6.9447,100,10000,0.69,0.0
2025-11-14T06:25:13.991354,Huelva,16.59,15.82,16.59,17.19,58,9.648000000000001,nubes,37.2614,-6.9447,93,10000,0.0,0.0
2025-11-14T07:13:07.190189,Huelva,16.59,15.92,16.59,18.3,62,6.444,nubes,37.2614,-6.9447,88,10000,0.0,0.0
2025-11-14T14:16:33.939967,Huelva,14.92,14.45,14.92,15.53,76,44.892,nubes,37.2614,-6.9447,97,7441,0.0,0.0
2025-11-14T22:15:19.721536,Huelva,17.14,16.66,17.14,17.19,67,8.064000000000002,nubes dispersas,37.2614,-6.9447,37,10000,0.0,0.0
2025-11-15T06:22:48.581966,Huelva,18.25,17.83,17.75,18.25,65,12.888,nubes dispersas,37.2614,-6.9447,39,10000,0.0,0.0
2025-11-15T14:14:14.905261,Huelva,19.36,19.34,18.86,19.36,76,35.388,lluvia ligera,37.2614,-6.9447,100,4708,0.42,0.0
2025-11-15T22:12:36.082152,Huelva,15.48,15.2,14.97,15.48,81,4.824000000000001,nubes,37.2614,-6.9447,94,10000,0.0,0.0
2025-11-16T06:22:59.396892,Huelva,11.59,11.02,11.59,16.08,85,1.62,algo de nubes,37.2614,-6.9447,16,10000,0.0,0.0
2025-11-16T14:14:11.762362,Huelva,18.81,18.55,18.81,19.41,69,25.740000000000002,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-16T22:15:01.777239,Huelva,15.48,14.96,15.48,16.64,72,9.648000000000001,algo de nubes,37.2614,-6.9447,15,10000,0.0,0.0
2025-11-17T06:25:57.056464,Huelva,16.03,15.67,16.03,16.08,76,14.472,nubes,37.2614,-6.9447,96,10000,0.1,0.0
2025-11-17T07:19:14.926970,Huelva,16.59,16.21,16.59,17.19,73,20.916,algo de nubes,37.2614,-6.9447,23,10000,0.0,0.0
2025-11-17T14:16:58.944205,Huelva,19.36,18.81,18.86,19.36,56,8.064000000000002,cielo claro,37.2614,-6.9447,6,10000,0.0,0.0
2025-11-17T22:16:20.024538,Huelva,13.81,13.02,13.81,13.81,68,1.62,nubes dispersas,37.2614,-6.9447,25,10000,0.0,0.0
2025-11-18T06:24:39.485372,Huelva,11.03,10.04,9.97,11.03,71,6.444,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-18T14:17:08.351846,Huelva,20.48,19.71,18.3,20.48,43,3.204,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-18T22:16:24.399108,Huelva,13.81,12.79,13.3,13.81,59,1.62,cielo claro,37.2614,-6.9447,2,10000,0.0,0.0
2025-11-19T06:24:23.396925,Huelva,9.92,9.92,9.92,9.92,64,3.204,muy nuboso,37.2614,-6.9447,76,10000,0.0,0.0
2025-11-19T14:17:04.472210,Huelva,16.59,15.58,16.59,17.75,49,8.064000000000002,nubes,37.2614,-6.9447,100,10000,0.0,0.0
2025-11-19T22:16:08.443880,Huelva,12.14,11.05,12.14,12.14,63,8.064000000000002,nubes,37.2614,-6.9447,86,10000,0.0,0.0
2025-11-20T06:24:24.349446,Huelva,8.81,8.81,8.81,8.81,70,1.62,algo de nubes,37.2614,-6.9447,12,10000,0.0,0.0
2025-11-20T14:16:58.232604,Huelva,17.14,15.93,17.14,17.19,39,3.204,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-20T22:15:52.199620,Huelva,11.59,10.24,9.97,11.59,55,8.064000000000002,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-21T06:26:06.758689,Huelva,7.7,5.4,7.7,7.7,59,12.888,cielo claro,37.2614,-6.9447,7,10000,0.0,0.0
2025-11-21T14:16:34.563319,Huelva,17.14,15.72,17.14,17.19,31,4.824000000000001,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-21T22:16:31.984290,Huelva,9.36,8.63,8.86,9.36,54,6.444,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-22T06:22:11.192254,Huelva,6.59,5,6.59,8.3,52,8.064000000000002,cielo claro,37.2614,-6.9447,0,10000,0.0,0.0
2025-11-22T14:14:01.047123,Huelva,16.03,14.5,16.03,16.08,31,12.888,cielo claro,37.2614,-6.9447,3,10000,0.0,0.0
2025-11-22T22:15:07.136368,Huelva,9.36,9.36,8.86,9.36,54,3.204,nubes dispersas,37.2614,-6.9447,37,10000,0.0,0.0
