fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:03:20.470145,Jakarta,31.27,37.1,30.64,32.41,66,2.06,muy nuboso,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-27T14:18:49.289288,Jakarta,24.72,25.65,24.07,25.99,92,1.54,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-27T22:16:15.248587,Jakarta,24.98,25.91,24.07,25.64,91,0.0,lluvia ligera,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-28T06:26:38.672274,Jakarta,29.07,33.66,28.86,29.07,74,2.06,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-28T06:40:59.646275,Jakarta,28.99,34.5,28.86,28.99,79,3.25,nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-28T14:18:37.088593,Jakarta,26.51,26.51,25.53,26.75,79,3.6,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-28T22:17:19.033442,Jakarta,25.58,26.33,24.97,26.19,82,1.54,lluvia moderada,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T06:27:01.368673,Jakarta,32.63,38.93,31.64,33.07,61,3.09,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T06:45:57.082538,Jakarta,32.48,37.58,31.64,33.07,58,3.09,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T06:51:38.268689,Jakarta,32.71,38.12,31.64,33.07,58,3.09,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T06:58:31.516250,Jakarta,32.99,37.79,31.64,34.07,55,2.68,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T07:02:41.323888,Jakarta,33.19,38.25,31.64,34.07,55,2.57,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T07:10:13.509304,Jakarta,33.31,38.19,31.64,34.07,54,2.57,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T14:18:38.917495,Jakarta,26.04,26.04,25.53,26.19,94,2.06,muy nuboso,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-29T22:16:55.354956,Jakarta,25.07,26.22,24.97,25.07,99,1.54,niebla,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-30T06:25:33.471273,Jakarta,35.02,41.53,32.75,35.64,52,2.57,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-30T14:17:41.715003,Jakarta,25.08,26.25,25.07,25.99,100,0.0,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-30T22:16:43.269017,Jakarta,24.0,24.94,23.07,24.52,95,0.45,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-31T06:25:46.688229,Jakarta,33.76,39.96,32.75,34.08,56,1.54,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-31T14:17:47.123626,Jakarta,25.07,25.93,24.99,25.07,88,1.54,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-10-31T22:16:38.515241,Jakarta,24.64,25.59,24.07,25.08,93,1.54,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-01T06:23:05.084504,Jakarta,34.32,38.75,33.07,36.11,49,2.57,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-01T14:14:44.510949,Jakarta,26.75,29.12,26.64,26.99,79,2.8,nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-01T22:15:22.651118,Jakarta,25.39,26.26,25.07,25.99,87,0.45,nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-02T06:24:07.456021,Jakarta,32.31,38.8,32.3,34.44,63,1.34,muy nuboso,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-02T14:15:01.437294,Jakarta,26.97,29.58,26.18,27.3,79,2.68,nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-02T22:15:41.334489,Jakarta,24.98,25.91,24.07,25.64,91,1.03,niebla,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-03T06:27:26.190610,Jakarta,33.21,40.21,32.3,34.07,63,4.12,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-03T14:18:01.313369,Jakarta,26.3,26.3,25.07,27.3,85,0.45,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-03T22:17:29.717403,Jakarta,24.61,25.5,24.07,25.08,91,0.0,niebla,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-04T06:26:31.270456,Jakarta,32.54,37.09,31.75,35.07,56,4.12,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-04T14:18:34.170413,Jakarta,28.54,32.24,27.75,28.97,73,0.45,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-04T22:16:27.456181,Jakarta,26.15,26.15,25.53,26.19,81,3.09,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-05T06:26:30.326475,Jakarta,31.57,36.37,31.19,32.07,61,7.72,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-05T07:01:50.099521,Jakarta,32.0,37.07,30.99,33.07,60,27.792,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-05T07:17:46.764022,Jakarta,33.07,37.97,30.99,33.07,55,27.792,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-05T14:20:48.103267,Jakarta,28.18,30.08,25.53,28.41,63,18.504,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-05T22:19:22.542878,Jakarta,26.51,26.51,24.97,26.75,81,9.252,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-06T06:28:44.224964,Jakarta,30.93,35.2,28.86,31.86,62,8.064000000000002,nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-06T07:00:01.718851,Jakarta,30.03,33.95,29.52,31.18,65,35.172,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-06T07:08:33.356425,Jakarta,30.03,34.17,29.52,31.18,66,35.172,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-06T07:20:56.056389,Jakarta,30.65,34.83,29.97,31.74,63,33.336,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-06T14:20:53.017318,Jakarta,26.6,26.6,24.97,27.07,80,14.832,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-06T22:19:14.839880,Jakarta,25.69,26.61,24.97,26.19,88,5.5440000000000005,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-07T06:28:22.014658,Jakarta,33.59,40.59,31.64,34.63,60,14.832,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-07T14:19:49.718411,Jakarta,27.93,31.63,26.64,28.07,78,18.504,nubes dispersas,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-07T22:18:25.250434,Jakarta,25.89,26.7,24.97,26.18,83,12.96,algo de nubes,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-08T06:25:21.800187,Jakarta,25.07,26.24,25.07,31.66,100,12.96,muy nuboso,-6.2088,106.8456,0,10000,0.0,0.0
2025-11-08T21:37:53.725461,Jakarta,26.76,29.14,24.97,27.07,79,11.124,algo de nubes,-6.2088,106.8456,20,10000,0.0,0.0
2025-11-08T22:18:00.322421,Jakarta,25.46,26.28,24.97,26.18,85,18.503999999999998,algo de nubes,-6.2088,106.8456,20,10000,0.0,0.0
2025-11-09T06:26:19.819505,Jakarta,33.07,37.03,32.99,33.07,52,18.503999999999998,nubes dispersas,-6.2088,106.8456,40,8000,0.0,0.0
2025-11-09T14:17:01.395897,Jakarta,27.99,30.52,26.64,28.07,69,11.124,nubes dispersas,-6.2088,106.8456,40,10000,0.0,0.0
2025-11-09T22:18:11.893060,Jakarta,26.11,26.11,24.97,26.18,80,7.416,algo de nubes,-6.2088,106.8456,20,8000,0.0,0.0
