fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:25.098908,Kuala Lumpur,36.07,43.07,33.85,36.35,53,3.6,algo de nubes,3.139,101.6869
2025-10-27T14:18:54.123319,Kuala Lumpur,29.09,29.65,26.64,29.11,49,1.54,algo de nubes,3.139,101.6869
2025-10-27T22:16:19.925878,Kuala Lumpur,26.64,26.64,26.64,26.64,81,0.53,nubes,3.139,101.6869
2025-10-28T06:26:43.524757,Kuala Lumpur,34.86,41.86,33.29,34.86,55,4.63,nubes dispersas,3.139,101.6869
2025-10-28T06:41:04.352490,Kuala Lumpur,36.2,43.2,33.85,36.35,61,4.63,nubes dispersas,3.139,101.6869
2025-10-28T14:18:42.093796,Kuala Lumpur,28,27.47,26.64,28,37,1.48,lluvia ligera,3.139,101.6869
2025-10-28T22:17:24.036463,Kuala Lumpur,27.86,31.46,26.64,27.86,78,2.06,algo de nubes,3.139,101.6869
2025-10-29T06:27:06.220464,Kuala Lumpur,32.86,37.5,32.86,34.4,55,6.17,algo de nubes,3.139,101.6869
2025-10-29T06:46:02.180785,Kuala Lumpur,32.86,37.5,32.86,34.96,55,6.17,algo de nubes,3.139,101.6869
2025-10-29T06:51:43.368780,Kuala Lumpur,32.86,37.5,32.86,34.96,55,6.17,algo de nubes,3.139,101.6869
2025-10-29T06:58:36.306714,Kuala Lumpur,32.86,37.5,32.86,34.96,55,6.17,algo de nubes,3.139,101.6869
2025-10-29T07:02:46.065893,Kuala Lumpur,32.86,37.5,32.86,34.96,55,6.17,algo de nubes,3.139,101.6869
2025-10-29T07:10:18.202685,Kuala Lumpur,34.96,38.08,34.96,34.96,43,4.63,nubes,3.139,101.6869
2025-10-29T14:18:43.559530,Kuala Lumpur,28.86,33.16,26.64,28.86,74,2.06,algo de nubes,3.139,101.6869
2025-10-29T22:17:00.354401,Kuala Lumpur,26.86,29.69,26.64,26.86,83,0,algo de nubes,3.139,101.6869
2025-10-30T06:25:38.177514,Kuala Lumpur,35.6,42.6,32.74,35.8,62,2.57,algo de nubes,3.139,101.6869
2025-10-30T14:17:46.531211,Kuala Lumpur,28.86,33.16,26.64,28.86,74,3.09,algo de nubes,3.139,101.6869
2025-10-30T22:16:48.089821,Kuala Lumpur,25.86,26.67,25.86,26.64,83,1.54,algo de nubes,3.139,101.6869
2025-10-31T06:25:51.345475,Kuala Lumpur,36.8,43.8,34.4,36.91,54,2.57,algo de nubes,3.139,101.6869
2025-10-31T14:17:51.926910,Kuala Lumpur,29.11,28.23,26.64,29.11,34,1.29,muy nuboso,3.139,101.6869
