fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:35.244612,Ljubljana,5.43,5.43,4.92,6.98,95,0.45,nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-10-27T14:18:02.312819,Ljubljana,11.85,11.02,11.59,13.29,74,1.54,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-27T22:15:29.600290,Ljubljana,5.82,4.83,4.48,6.98,87,1.54,algo de nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-10-28T06:25:51.444982,Ljubljana,2.76,2.76,2.18,2.79,93,0.63,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-10-28T06:40:13.939198,Ljubljana,2.79,2.79,0.48,2.79,92,1.03,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-10-28T14:17:48.287001,Ljubljana,16.18,15.11,14.92,17.23,48,1.34,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-10-28T22:16:29.860434,Ljubljana,6.53,5.09,4.48,7.79,89,2.06,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T06:26:14.052452,Ljubljana,7.89,7.89,7.41,8.84,89,0.45,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T06:45:07.276497,Ljubljana,7.84,6.62,6.48,9.4,89,2.06,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T06:50:48.452257,Ljubljana,7.84,6.62,6.48,9.4,89,2.06,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T06:57:44.794436,Ljubljana,7.9,7.9,7.41,9.4,90,1.03,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T07:01:55.503142,Ljubljana,7.9,7.9,7.41,9.4,90,1.03,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T07:09:27.665748,Ljubljana,8.09,8.09,7.41,9.2,90,1.03,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T14:17:53.691713,Ljubljana,13.39,13.13,13.25,15.87,90,1.03,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-29T22:16:06.630806,Ljubljana,12.8,12.54,11.48,13.81,92,2.06,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-30T06:24:47.736000,Ljubljana,14.59,14.3,13.9,15.85,84,1.79,nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-10-30T14:16:54.691051,Ljubljana,14.88,14.85,14.45,16.48,93,0.0,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-30T22:15:56.231953,Ljubljana,13.55,13.49,13.25,14.48,97,1.03,nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-10-31T06:25:01.413648,Ljubljana,12.8,12.69,12.14,13.48,98,1.03,niebla,46.0569,14.5058,0,10000,0.0,0.0
2025-10-31T14:17:00.010725,Ljubljana,18.23,18.2,17.48,19.2,80,1.03,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-10-31T22:15:53.125713,Ljubljana,13.69,13.6,12.48,13.9,95,2.06,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-11-01T06:22:18.281919,Ljubljana,12.34,12.16,11.86,13.29,97,0.79,nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-11-01T14:13:57.119571,Ljubljana,18.32,18.27,16.48,18.9,79,1.34,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-11-01T22:14:35.872043,Ljubljana,14.37,14.19,14.08,16.4,89,1.27,nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-11-02T06:23:20.679383,Ljubljana,13.9,13.85,13.81,14.2,96,0.45,nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-11-02T14:14:11.843709,Ljubljana,17.8,17.67,16.48,18.25,78,2.06,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-11-02T22:14:54.258381,Ljubljana,14.38,14.12,13.48,15.51,86,0.51,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-11-03T06:26:37.484695,Ljubljana,8.23,7.59,7.97,9.2,94,1.54,muy nuboso,46.0569,14.5058,0,10000,0.0,0.0
2025-11-03T14:17:14.577390,Ljubljana,15.17,14.34,14.4,15.75,61,2.57,algo de nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-11-03T22:16:43.940005,Ljubljana,5.75,5.75,3.48,6.12,87,0.0,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-11-04T06:25:45.946509,Ljubljana,2.45,2.45,2.14,3.09,98,0.48,algo de nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-11-04T14:17:48.389010,Ljubljana,13.35,12.33,13.25,14.75,61,2.06,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-11-04T22:15:41.548262,Ljubljana,4.72,4.72,2.48,5.01,86,0.51,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-11-05T06:25:41.299008,Ljubljana,2.16,2.16,1.59,2.79,98,0.23,cielo claro,46.0569,14.5058,0,10000,0.0,0.0
2025-11-05T07:00:15.327074,Ljubljana,2.53,2.53,-0.52,2.53,92,1.836,algo de nubes,46.0569,14.5058,0,10000,0.0,0.0
2025-11-05T07:16:07.353268,Ljubljana,3.09,3.09,-0.52,3.09,92,1.836,algo de nubes,46.0569,14.5058,0,10000,0.0,0.0
