fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:41.177060,Lleida,5.5,5.5,4.1,5.5,91,0,cielo claro,41.6176,0.62
2025-10-27T14:17:06.840974,Lleida,19.95,19.31,19.1,19.95,50,4.63,cielo claro,41.6176,0.62
2025-10-27T22:14:35.986016,Lleida,11.62,10.82,11.62,12.1,76,2.57,cielo claro,41.6176,0.62
2025-10-28T06:24:55.731415,Lérida,6.62,4.39,6.62,7.1,91,3.09,cielo claro,41.6176,0.62
2025-10-28T06:39:19.899337,Lérida,7.1,4.97,7.1,7.1,93,3.09,cielo claro,41.6176,0.62
2025-10-28T14:16:50.763744,Lleida,18.28,17.73,18.28,19.1,60,1.54,cielo claro,41.6176,0.62
2025-10-28T22:15:31.911806,Lleida,13.28,12.67,12.1,13.28,77,4.12,cielo claro,41.6176,0.62
2025-10-29T06:25:18.258375,Lérida,13.28,12.83,13.28,14.1,83,4.12,muy nuboso,41.6176,0.62
2025-10-29T06:44:08.554875,Lérida,13.28,12.8,13.28,14.1,82,4.63,muy nuboso,41.6176,0.62
2025-10-29T06:49:49.726461,Lérida,13.28,12.83,13.28,14.1,83,4.63,muy nuboso,41.6176,0.62
2025-10-29T06:56:49.638975,Lleida,13.28,12.83,13.28,14.1,83,4.63,muy nuboso,41.6176,0.62
2025-10-29T07:00:59.454914,Lleida,13.3,12.85,13.3,14.11,83,4.63,muy nuboso,41.6167,0.6167
