fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:36.399432,London,9.7,6.5,8.86,10.08,80,7.2,cielo claro,51.5072,-0.1276
2025-10-27T14:18:03.514002,London,13.74,12.76,12.83,14.45,61,9.26,algo de nubes,51.5072,-0.1276
2025-10-27T22:15:30.759239,London,11.64,10.92,10.53,12.38,79,4.63,nubes,51.5072,-0.1276
2025-10-28T06:25:52.656868,London,12.27,11.8,11.47,12.97,86,7.2,lluvia ligera,51.5072,-0.1276
2025-10-28T06:40:15.107770,London,11.93,11.5,11.08,12.97,89,6.69,lluvia ligera,51.5072,-0.1276
2025-10-28T14:17:49.533716,London,14.9,14.06,14.21,15.59,62,7.72,nubes dispersas,51.5072,-0.1276
2025-10-28T22:16:31.107185,London,11.77,10.99,10.53,12.29,76,4.02,nubes,51.5072,-0.1276
2025-10-29T06:26:15.273356,London,11.72,11.17,10.59,12.29,85,3.6,muy nuboso,51.5072,-0.1276
2025-10-29T06:45:08.552889,London,11.49,10.91,10.57,12.29,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T06:50:49.728756,London,11.57,11,10.57,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T06:57:45.989855,London,11.57,11,10.57,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T07:01:56.680034,London,11.57,11,10.57,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T07:09:28.838466,London,11.67,11.11,10.59,12.31,85,3.09,muy nuboso,51.5072,-0.1276
2025-10-29T14:17:54.848686,London,12.1,11.74,11.01,12.8,91,2.06,lluvia ligera,51.5072,-0.1276
2025-10-29T22:16:07.892000,London,8.17,5.96,6.56,9.05,91,3.6,nubes dispersas,51.5072,-0.1276
2025-10-30T06:24:48.902420,London,5.55,5.55,4.08,6.74,93,0.89,cielo claro,51.5072,-0.1276
2025-10-30T14:16:55.900638,London,12.96,12.35,11.97,13.49,78,3.13,muy nuboso,51.5072,-0.1276
2025-10-30T22:15:57.425629,London,12.08,11.51,11.14,13.3,83,4.63,muy nuboso,51.5072,-0.1276
2025-10-31T06:25:02.571918,London,13.77,13.53,12.81,14.21,89,4.12,muy nuboso,51.5072,-0.1276
2025-10-31T14:17:01.206325,London,15.4,15.22,14.49,16,85,6.17,nubes,51.5072,-0.1276
2025-10-31T22:15:54.282699,London,15.03,14.89,14.25,16,88,6.69,algo de nubes,51.5072,-0.1276
2025-11-01T06:22:19.482307,London,12.19,11.71,11.08,12.88,86,3.09,nubes,51.5072,-0.1276
2025-11-01T14:13:58.327152,London,15.51,14.76,14.47,16.17,63,5.66,algo de nubes,51.5072,-0.1276
2025-11-01T22:14:37.076163,London,9.48,8.09,7.81,10.07,89,2.68,nubes dispersas,51.5072,-0.1276
2025-11-02T06:23:21.874640,London,8.84,6.52,7.19,9.88,89,4.12,lluvia ligera,51.5072,-0.1276
2025-11-02T14:14:13.114551,London,12.78,11.71,11.88,13.4,61,5.66,algo de nubes,51.5072,-0.1276
2025-11-02T22:14:55.455414,London,7.61,5.58,5.92,8.88,86,3.09,cielo claro,51.5072,-0.1276
2025-11-03T06:26:38.730531,London,12.23,11.86,11.64,12.81,90,4.12,muy nuboso,51.5072,-0.1276
2025-11-03T14:17:15.770731,London,15.64,15.3,14.97,16.69,78,8.75,nubes,51.5072,-0.1276
2025-11-03T22:16:45.108450,London,14.85,14.58,13.97,15.16,84,5.66,muy nuboso,51.5072,-0.1276
2025-11-04T06:25:47.115806,London,14.22,13.89,13.14,14.51,84,5.14,muy nuboso,51.5072,-0.1276
2025-11-04T14:17:49.559338,London,15.81,15.43,14.49,16.43,76,4.92,muy nuboso,51.5072,-0.1276
2025-11-04T22:15:42.718159,London,15.17,14.94,13.69,15.88,84,5.66,muy nuboso,51.5072,-0.1276
