fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:37.560988,Luxembourg,8.39,4.38,7.43,9.37,94,8.75,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-27T14:18:04.720136,Luxembourg,11.21,10.19,10.09,12.19,69,10.29,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-10-27T22:15:31.924945,Luxembourg,7.43,4.78,6.87,8.3,90,4.12,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-10-28T06:25:53.871075,Luxembourg,8.79,5.48,7.98,9.93,96,6.69,llovizna ligera,49.6116,6.1319,0,10000,0.0,0.0
2025-10-28T06:40:16.299909,Luxembourg,8.99,5.74,8.47,9.93,96,6.69,llovizna ligera,49.6116,6.1319,0,10000,0.0,0.0
2025-10-28T14:17:50.782905,Luxembourg,10.66,10.18,10.09,11.6,92,7.72,llovizna ligera,49.6116,6.1319,0,10000,0.0,0.0
2025-10-28T22:16:32.329992,Luxembourg,10.79,10.27,10.09,11.6,90,5.14,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T06:26:16.486915,Luxembourg,9.65,8.36,8.98,10.1,91,2.57,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T06:45:09.831565,Luxembourg,9.35,7.68,8.47,10.1,92,3.09,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T06:50:51.018496,Luxembourg,9.33,7.65,8.47,9.93,92,3.09,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T06:57:47.196794,Luxembourg,9.31,7.63,8.47,9.78,92,3.09,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T07:01:57.854712,Luxembourg,9.32,7.64,8.54,9.78,92,3.09,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T07:09:30.023141,Luxembourg,9.06,7.66,8.53,10.28,94,2.57,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T14:17:56.012182,Luxembourg,14.24,13.7,13.43,15.4,76,6.17,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-10-29T22:16:09.109423,Luxembourg,11.66,11.36,10.76,12.71,95,6.17,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-10-30T06:24:50.072437,Luxembourg,7.15,3.97,6.32,8.43,91,5.14,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-10-30T14:16:57.109825,Luxembourg,11.77,10.83,10.76,12.75,70,4.12,nubes dispersas,49.6116,6.1319,0,10000,0.0,0.0
2025-10-30T22:15:58.634349,Luxembourg,5.01,3.32,4.65,6.8,91,2.06,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-10-31T06:25:03.732745,Luxembourg,4.65,2.02,4.11,5.66,91,3.09,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-10-31T14:17:02.403181,Luxembourg,11.99,11.46,11.53,13.82,85,4.12,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-10-31T22:15:55.449495,Luxembourg,9.94,8.39,8.67,11.21,94,3.09,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-01T06:22:20.695041,Luxembourg,10.91,10.56,9.78,12.36,96,3.6,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-11-01T14:13:59.542677,Luxembourg,12.62,12.39,11.25,13.53,94,5.66,lluvia moderada,49.6116,6.1319,0,10000,0.0,0.0
2025-11-01T22:14:38.278075,Luxembourg,10.39,9.91,9.54,11.04,93,4.12,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-11-02T06:23:23.077442,Luxembourg,9.91,8.35,9.09,11.04,95,3.09,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-11-02T14:14:14.384552,Luxembourg,10.21,9.64,9.02,11.53,90,5.66,lluvia de gran intensidad,49.6116,6.1319,0,10000,0.0,0.0
2025-11-02T22:14:56.652073,Luxembourg,5.44,3.36,5.21,6.6,95,2.57,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-11-03T06:26:39.974055,Luxembourg,5.78,4.22,5.21,6.95,96,2.06,niebla,49.6116,6.1319,0,10000,0.0,0.0
2025-11-03T14:17:16.972307,Luxembourg,9.9,7.06,9.4,10.66,89,6.17,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-11-03T22:16:46.294733,Luxembourg,10.01,9.55,9.09,11.04,95,3.09,muy nuboso,49.6116,6.1319,0,10000,0.0,0.0
2025-11-04T06:25:48.278331,Luxembourg,8.07,6.49,6.64,9.17,96,2.57,bruma,49.6116,6.1319,0,10000,0.0,0.0
2025-11-04T14:17:50.734463,Luxembourg,13.66,12.96,12.87,14.85,72,5.14,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-04T22:15:43.891341,Luxembourg,7.9,6.69,6.08,8.82,87,2.06,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-05T06:25:43.846208,Luxembourg,5.54,3.94,4.65,6.96,89,2.06,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-05T07:00:20.166350,Luxembourg,5.43,5.43,4.09,6.96,88,3.708,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-05T07:16:12.450430,Luxembourg,6.2,4.27,4.93,7.91,87,9.252,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-05T14:19:17.398189,Luxembourg,15.49,14.61,14.78,16.25,58,14.832,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-05T22:17:52.689799,Luxembourg,7.84,6.21,5.51,9.54,75,9.252,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-06T06:27:13.319260,Luxembourg,5.6,4.58,5.22,6.77,89,5.5440000000000005,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-06T06:58:26.279739,Luxembourg,5.97,3.99,4.78,7.32,89,9.252,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-06T07:07:04.949846,Luxembourg,6.26,3.63,4.78,7.32,87,12.96,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-06T07:19:29.022251,Luxembourg,6.26,3.63,4.78,7.32,87,12.96,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-06T14:19:22.234510,Luxembourg,12.88,11.89,12.44,15.13,64,7.416,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-06T22:17:44.038264,Luxembourg,6.05,6.05,5.21,7.91,86,3.708,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-07T06:26:55.118217,Luxembourg,5.41,4.36,4.58,5.65,91,5.5440000000000005,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-07T14:18:22.091832,Luxembourg,13.82,13.01,13.0,15.69,67,5.5440000000000005,nubes dispersas,49.6116,6.1319,0,10000,0.0,0.0
2025-11-07T22:16:57.525799,Luxembourg,4.16,2.94,3.53,5.69,92,5.5440000000000005,cielo claro,49.6116,6.1319,0,10000,0.0,0.0
2025-11-08T06:23:53.759554,Luxembourg,2.62,2.62,2.44,3.67,92,0.792,algo de nubes,49.6116,6.1319,0,10000,0.0,0.0
2025-11-08T21:36:17.043918,Luxembourg,6.57,5.51,6.4,7.15,94,6.12,nubes,49.6116,6.1319,95,10000,0.0,0.0
2025-11-08T22:16:24.183852,Luxembourg,7.13,6.15,6.45,8.84,99,6.12,nubes,49.6116,6.1319,95,10000,0.0,0.0
2025-11-09T06:24:44.581101,Luxembourg,7.98,5.73,6.87,8.53,96,12.96,niebla,49.6116,6.1319,75,1200,0.0,0.0
2025-11-09T14:15:25.390907,Luxembourg,12.12,11.35,10.9,13.61,75,12.96,nubes dispersas,49.6116,6.1319,40,10000,0.0,0.0
2025-11-09T22:16:40.975756,Luxembourg,6.48,4.22,5.76,7.32,95,11.124,niebla,49.6116,6.1319,75,4000,0.0,0.0
2025-11-10T06:28:52.398967,Luxembourg,5.3,3.66,4.41,5.85,96,7.416,bruma,49.6116,6.1319,100,200,0.0,0.0
2025-11-10T06:58:14.768972,Luxembourg,5.27,3.16,4.41,5.85,96,9.251999999999999,bruma,49.6116,6.1319,100,100,0.0,0.0
2025-11-10T07:06:34.152703,Luxembourg,5.29,3.19,4.54,5.85,96,9.251999999999999,bruma,49.6116,6.1319,100,100,0.0,0.0
2025-11-10T14:19:31.143734,Luxembourg,7.65,6.4,6.76,9.72,88,7.416,algo de nubes,49.6116,6.1319,20,10000,0.0,0.0
2025-11-10T22:18:34.721745,Luxembourg,6.82,3.78,6.33,8.3,95,16.668,bruma,49.6116,6.1319,100,800,0.0,0.0
2025-11-11T06:27:29.474995,Luxembourg,8.06,6.88,7.43,9.41,95,7.416,muy nuboso,49.6116,6.1319,75,10000,0.0,0.0
2025-11-11T14:18:51.568754,Luxembourg,12.51,11.88,11.53,13.86,79,9.251999999999999,muy nuboso,49.6116,6.1319,75,10000,0.0,0.0
