fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:42.504039,Melbourne,13.38,12.16,12.53,14.07,53,9.26,cielo claro,-37.8136,144.9631
2025-10-27T14:19:12.222244,Melbourne,7.76,4.95,6.64,8.86,70,4.63,cielo claro,-37.8136,144.9631
2025-10-27T22:16:37.384592,Melbourne,9.04,7.02,7.48,9.62,68,3.6,cielo claro,-37.812,144.9606
2025-10-28T06:27:01.686536,Melbourne,16.6,15.91,16.12,17.53,61,6.69,cielo claro,-37.8136,144.9631
2025-10-28T06:41:21.917246,Melbourne,16.54,15.84,16.05,17.53,61,6.69,cielo claro,-37.8136,144.9631
2025-10-28T14:19:00.885347,Melbourne,9.49,7.1,8.27,9.97,83,4.63,cielo claro,-37.8136,144.9631
2025-10-28T22:17:42.913734,Melbourne,12.04,11.44,10.75,13.3,82,2.57,algo de nubes,-37.8136,144.9631
2025-10-29T06:27:24.545076,Melbourne,19.45,18.81,18.27,20.53,52,6.69,cielo claro,-37.8136,144.9631
2025-10-29T06:46:21.307708,Melbourne,19.4,18.81,18.27,19.53,54,6.69,cielo claro,-37.8136,144.9631
2025-10-29T06:52:02.521841,Melbourne,19.4,18.41,18.27,19.53,39,6.69,cielo claro,-37.8136,144.9631
2025-10-29T06:58:54.278963,Melbourne,19.4,18.41,18.27,19.53,39,6.69,cielo claro,-37.8136,144.9631
2025-10-29T07:03:03.678938,Melbourne,19.53,18.56,18.27,19.53,39,6.69,cielo claro,-37.8136,144.9631
2025-10-29T07:10:35.815058,Melbourne,19.4,18.41,18.27,19.53,39,6.69,cielo claro,-37.8136,144.9631
2025-10-29T14:19:00.997071,Melbourne,11.68,11.1,9.94,12.17,84,1.36,nubes dispersas,-37.8136,144.9631
2025-10-29T22:17:19.140964,Melbourne,14.71,14.27,13.3,15.87,78,0.45,algo de nubes,-37.8136,144.9631
2025-10-30T06:25:55.762338,Melbourne,24.96,24.35,23.86,26.93,32,5.66,cielo claro,-37.8136,144.9631
2025-10-30T14:18:04.554859,Melbourne,17.54,16.79,16.38,18.64,55,2.57,nubes,-37.8136,144.9631
2025-10-30T22:17:06.155099,Melbourne,19.67,19.08,18.51,20.31,53,10.8,muy nuboso,-37.8136,144.9631
2025-10-31T06:26:08.742019,Melbourne,18.44,18.19,18.14,19.75,71,5.14,muy nuboso,-37.8136,144.9631
2025-10-31T14:18:09.985416,Melbourne,14.9,14.67,13.7,15.59,85,2.06,nubes,-37.8136,144.9631
2025-10-31T22:17:00.610989,Melbourne,14.99,14.69,14.41,15.82,82,3.6,muy nuboso,-37.8136,144.9631
2025-11-01T06:23:27.860138,Melbourne,20.16,20.01,19.39,23.09,68,4.63,algo de nubes,-37.8136,144.9631
2025-11-01T14:15:07.540873,Melbourne,14.15,13.92,12.4,15.08,88,2.57,cielo claro,-37.8136,144.9631
2025-11-01T22:15:45.450576,Melbourne,21.53,21.62,20.27,22.42,72,7.72,cielo claro,-37.8136,144.9631
2025-11-02T06:24:30.241266,Melbourne,32.94,31.54,32.17,33.97,27,8.23,cielo claro,-37.8136,144.9631
2025-11-02T14:15:25.613083,Melbourne,17.92,17.88,16.48,18.86,81,1.54,nubes,-37.8136,144.9631
2025-11-02T22:16:04.121438,Melbourne,12.9,12.67,12.16,13.28,93,5.14,lluvia moderada,-37.8136,144.9631
2025-11-03T06:27:49.867347,Melbourne,13.42,13.09,12.4,15.31,87,3.6,muy nuboso,-37.8136,144.9631
