fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:08.852263,Milan,7.52,7.52,5.26,8.35,76,0.68,nubes,45.4642,9.19
2025-10-27T14:18:37.235109,Milan,17.53,16.75,16.76,18.43,54,3.09,cielo claro,45.4642,9.19
2025-10-27T22:16:03.545955,Milan,10.37,9.26,8.83,11.69,69,1.34,cielo claro,45.4642,9.19
2025-10-28T06:26:26.558840,Milan,6.96,6.96,5.81,7.8,84,0.86,cielo claro,45.4642,9.19
2025-10-28T06:40:47.940408,Milan,7.08,7.08,5.93,7.8,83,0.2,cielo claro,45.4642,9.19
2025-10-28T14:18:24.590787,Milan,18.49,17.94,17.83,19.54,59,1.54,cielo claro,45.4642,9.19
2025-10-28T22:17:06.392648,Milan,11.51,10.88,9.83,12.8,83,0.51,algo de nubes,45.4642,9.19
2025-10-29T06:26:49.216793,Milan,11.51,10.88,10.38,12.24,83,1.03,muy nuboso,45.4642,9.19
2025-10-29T06:45:44.306494,Milan,11.51,10.88,10.38,12.24,83,1.54,nubes dispersas,45.4642,9.19
2025-10-29T06:51:25.500728,Milan,11.51,10.88,10.38,12.24,83,1.54,nubes dispersas,45.4642,9.19
2025-10-29T06:58:19.531062,Milan,11.51,10.88,10.38,12.24,83,1.54,nubes dispersas,45.4642,9.19
2025-10-29T07:02:29.581761,Milan,11.51,10.88,10.38,12.24,83,1.54,nubes dispersas,45.4642,9.19
2025-10-29T07:10:01.751965,Milan,11.61,10.97,10.65,12.24,82,2.06,muy nuboso,45.4642,9.19
2025-10-29T14:18:27.321911,Milan,13.42,12.91,12.6,14.44,80,3.09,muy nuboso,45.4642,9.19
2025-10-29T22:16:42.786215,Milan,11.79,11.45,10.65,12.16,93,0.51,niebla,45.4642,9.19
2025-10-30T06:25:21.749827,Milan,12.2,11.9,11.21,12.83,93,0.51,niebla,45.4642,9.19
2025-10-30T14:17:29.681721,Milan,15.45,15.45,14.33,17.44,92,2.06,muy nuboso,45.4642,9.19
2025-10-30T22:16:31.227760,Milan,13.62,13.47,12.99,13.99,93,0.51,llovizna ligera,45.4642,9.19
2025-10-31T06:25:35.080986,Milan,13.41,13.29,12.32,13.83,95,0.51,llovizna ligera,45.4642,9.19
2025-10-31T14:17:35.087175,Milan,15.26,15.22,14.94,16.11,91,1.54,nubes,45.4642,9.19
2025-10-31T22:16:26.889198,Milan,14.73,14.71,13.71,15.1,94,1.03,muy nuboso,45.4642,9.19
2025-11-01T06:22:53.077475,Milan,14.44,14.42,13.43,14.83,95,0.51,niebla,45.4642,9.19
2025-11-01T14:14:32.330600,Milan,17.18,17.28,16.21,17.83,89,0.51,muy nuboso,45.4642,9.19
2025-11-01T22:15:10.665058,Milan,14.68,14.61,13.43,15.58,92,0.51,nubes dispersas,45.4642,9.19
2025-11-02T06:23:55.442638,Milan,14.95,14.98,13.98,15.55,95,2.06,niebla,45.4642,9.19
2025-11-02T14:14:48.740278,Milan,15.35,15.4,14.54,15.85,94,2.68,niebla,45.4642,9.19
2025-11-02T22:15:29.346383,Milan,10.53,9.99,9.18,11.13,90,2.06,cielo claro,45.4642,9.19
2025-11-03T06:27:13.726407,Milan,8.7,8.12,6.83,11.88,88,1.54,cielo claro,45.4642,9.19
2025-11-03T14:17:49.319705,Milan,18.27,17.69,17.32,18.91,59,1.54,cielo claro,45.4642,9.19
2025-11-03T22:17:17.970237,Milan,9.31,9.31,7.83,10.58,85,1.03,cielo claro,45.4642,9.19
2025-11-04T06:26:19.639492,Milan,7.54,7.54,7.16,8.89,86,0.32,cielo claro,45.4642,9.19
2025-11-04T14:18:22.438486,Milan,16.24,15.62,15.83,17.22,65,1.54,cielo claro,45.4642,9.19
2025-11-04T22:16:15.615514,Milan,9.25,9.25,7.48,10.02,84,0.45,cielo claro,45.4642,9.19
2025-11-05T06:26:17.724307,Milan,7.24,7.24,4.83,7.24,93,0.51,bruma,45.4642,9.19
2025-11-05T07:01:25.873145,Milan,7.24,7.24,7.22,7.24,80,4.788,nubes,45.4642,9.19
2025-11-05T07:17:21.225119,Milan,7.89,7.89,6.65,8.35,84,4.788,nubes,45.4642,9.19
2025-11-05T14:20:23.534596,Milan,16.28,15.63,15.26,17.24,64,3.708,cielo claro,45.4642,9.19
2025-11-05T22:18:58.180427,Milan,8.39,8.39,6.37,9.46,83,1.764,cielo claro,45.4642,9.19
2025-11-06T06:28:19.595714,Milan,6.13,6.13,6.13,6.67,74,1.9080000000000001,algo de nubes,45.4642,9.19
2025-11-06T06:59:35.867444,Milan,2.83,2.83,2.83,7.22,100,3.708,bruma,45.4642,9.19
