fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:56.409962,Cordon,14.59,14.17,13.82,15.31,79,7.6,muy nuboso,-34.9011,-56.1645
2025-10-27T14:19:26.717964,Cordon,14.82,14.13,14.14,15.86,68,4.63,muy nuboso,-34.9011,-56.1645
2025-10-27T22:16:51.380634,Cordon,14.04,13.48,12.82,14.75,76,9.83,nubes,-34.9011,-56.1645
2025-10-28T06:27:16.222148,Cordon,12.71,11.79,10.99,13.08,67,7.6,nubes,-34.9011,-56.1645
2025-10-28T06:41:36.293457,Cordon,12.71,11.79,10.99,13.08,67,8.05,nubes,-34.9011,-56.1645
2025-10-28T14:19:15.875882,Cordon,13.62,12.6,12.82,13.99,60,7.2,muy nuboso,-34.9011,-56.1645
2025-10-28T22:17:58.036264,Cordon,13.62,12.92,11.87,13.69,72,5.14,muy nuboso,-34.9031,-56.158
2025-10-29T06:27:39.094499,Cordon,10.82,10.23,9.99,10.82,87,2.57,nubes dispersas,-34.9011,-56.1645
2025-10-29T06:46:36.607284,Cordon,10.82,10.23,9.99,10.82,87,2.57,nubes dispersas,-34.9011,-56.1645
2025-10-29T06:52:17.831113,Cordon,10.82,10.23,9.99,10.82,87,2.57,nubes dispersas,-34.9011,-56.1645
2025-10-29T06:59:08.651268,Cordon,10.82,10.23,9.99,10.82,87,2.57,nubes dispersas,-34.9011,-56.1645
2025-10-29T07:03:17.749686,Cordon,10.88,10.3,10.05,10.88,87,2.57,nubes dispersas,-34.9041,-56.1648
2025-10-29T07:10:49.874343,Cordon,14.19,13.65,11.82,14.19,76,4.12,muy nuboso,-34.9011,-56.1645
2025-10-29T14:19:14.918656,Cordon,14.22,14.05,12.99,15.82,90,4.63,muy nuboso,-34.9011,-56.1645
2025-10-29T22:17:34.058033,Cordon,15.3,14.79,13.99,15.31,73,6.69,algo de nubes,-34.9011,-56.1645
2025-10-30T06:26:09.800079,Cordon,10.84,10.12,8.99,10.86,82,2.57,algo de nubes,-34.9011,-56.1645
2025-10-30T14:18:18.959266,Cordon,16.82,15.99,15.99,16.82,55,3.6,algo de nubes,-34.9011,-56.1645
2025-10-30T22:17:20.566311,Cordon,16.39,15.91,13.99,16.42,70,5.14,cielo claro,-34.9011,-56.1645
2025-10-31T06:26:22.652185,Cordon,11.95,11.47,10.82,11.97,87,3.6,cielo claro,-34.9011,-56.1645
2025-10-31T14:18:24.416353,Cordon,19.82,19.42,18.99,19.82,60,4.63,nubes dispersas,-34.9011,-56.1645
2025-10-31T22:17:14.544304,Cordon,19.16,19.14,17.82,19.19,77,4.12,cielo claro,-34.9011,-56.1645
2025-11-01T06:23:42.239234,Cordon,14.71,14.4,12.82,14.75,83,5.66,cielo claro,-34.9011,-56.1645
2025-11-01T14:15:22.081785,Cordon,22.82,22.72,22.82,22.99,60,4.63,cielo claro,-34.9011,-56.1645
2025-11-01T22:15:59.819312,Cordon,22.82,22.36,22.82,22.99,46,0.51,cielo claro,-34.9011,-56.1645
2025-11-02T06:24:44.632606,Cordon,14.82,14.66,14.82,14.82,88,0,cielo claro,-34.9011,-56.1645
2025-11-02T14:15:40.862216,Cordon,21.82,20.92,20.99,21.82,33,3.6,muy nuboso,-34.9011,-56.1645
2025-11-02T22:16:18.484119,Cordon,18.62,18.42,17.82,18.64,72,5.66,cielo claro,-34.9011,-56.1645
2025-11-03T06:28:04.825285,Cordon,16.42,16.13,13.82,16.42,77,0.89,cielo claro,-34.9011,-56.1645
2025-11-03T14:18:38.480283,Cordon,21.44,21.75,21.42,24.99,81,3.6,nubes dispersas,-34.9011,-56.1645
2025-11-03T22:18:06.228357,Pocitos,19.73,19.98,18.82,19.75,85,5.14,algo de nubes,-34.9011,-56.1645
2025-11-04T06:27:07.248864,Cordon,17.53,17.61,15.82,17.53,87,0.89,cielo claro,-34.9011,-56.1645
2025-11-04T14:19:10.809974,Cordon,25.28,25.33,23.82,25.31,56,6.17,cielo claro,-34.9011,-56.1645
2025-11-04T22:17:03.920913,Cordon,17.51,17.77,16.82,17.53,94,5.81,muy nuboso,-34.9011,-56.1645
2025-11-05T06:27:09.246122,Cordon,16.97,17.07,14.82,16.97,90,6.17,muy nuboso,-34.9011,-56.1645
2025-11-05T07:03:05.214770,Cordon,16.97,17.02,14.82,16.97,88,22.212,muy nuboso,-34.9011,-56.1645
