fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:23.057623,Nairobi,22.82,22.62,22.82,22.82,56,1.87,cielo claro,-1.2921,36.8219
2025-10-27T14:19:54.430095,Nairobi,21.71,21.61,21.71,21.71,64,4.12,muy nuboso,-1.2921,36.8219
2025-10-27T22:17:18.172545,Nairobi,19.21,19.01,19.21,19.21,70,3,nubes dispersas,-1.2921,36.8219
2025-10-28T06:27:44.035919,Nairobi,20.02,19.98,18.71,20.02,73,3.6,muy nuboso,-1.2921,36.8219
2025-10-28T06:42:03.287523,Nairobi,20.02,19.98,18.71,20.02,73,3.6,muy nuboso,-1.2921,36.8219
2025-10-28T14:19:44.669880,Nairobi,22.22,22.19,22.22,22.22,65,4.41,lluvia moderada,-1.2921,36.8219
2025-10-28T22:18:26.948053,Nairobi,17.8,17.96,17.8,17.8,89,3.08,lluvia ligera,-1.2921,36.8219
2025-10-29T06:28:06.968531,Nairobi,17.71,17.99,17.71,17.71,94,3.6,llovizna,-1.2921,36.8219
2025-10-29T06:47:05.953113,Nairobi,20.02,20.09,17.71,20.02,77,5.66,llovizna,-1.2921,36.8219
2025-10-29T06:52:47.159977,Nairobi,20.02,20.09,17.71,20.02,77,5.66,llovizna,-1.2921,36.8219
2025-10-29T06:59:36.225160,Nairobi,20.02,20.09,17.71,20.02,77,5.66,llovizna,-1.2921,36.8219
2025-10-29T07:03:44.750206,Nairobi,20.02,20.09,17.71,20.02,77,5.66,llovizna,-1.2921,36.8219
2025-10-29T07:11:16.901498,Nairobi,18.71,18.8,18.71,18.71,83,2.32,lluvia ligera,-1.2921,36.8219
2025-10-29T14:19:41.580545,Nairobi,20.51,20.57,20.51,20.51,75,4.01,lluvia ligera,-1.2921,36.8219
2025-10-29T22:18:02.708185,Nairobi,15.71,15.95,15.71,15.71,100,2.06,lluvia ligera,-1.2921,36.8219
2025-10-30T06:26:36.747005,Nairobi,18.71,18.78,18.71,18.71,82,2.57,lluvia moderada,-1.2921,36.8219
2025-10-30T14:18:46.666510,Nairobi,19.07,19.2,19.07,19.07,83,3.5,lluvia ligera,-1.2921,36.8219
2025-10-30T22:17:48.213272,Nairobi,16.73,16.91,16.73,16.73,94,3.28,lluvia ligera,-1.2921,36.8219
