fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:41.044518,Panagia,21.94,21.86,21.94,21.94,64,2.57,algo de nubes,35.1856,33.3823
2025-10-27T14:18:08.336530,Panagia,25.94,25.97,25.94,25.94,53,4.12,algo de nubes,35.1856,33.3823
2025-10-27T22:15:35.433976,Panagia,15.94,15.89,15.94,15.94,88,2.57,algo de nubes,35.1856,33.3823
2025-10-28T06:25:57.501888,Panagia,19.94,20,19.94,19.94,77,2.06,algo de nubes,35.1856,33.3823
2025-10-28T06:40:19.806211,Panagia,20.94,21.13,20.94,20.94,78,3.09,algo de nubes,35.1856,33.3823
2025-10-28T14:17:54.541912,Panagia,25.94,26.08,25.94,25.94,57,4.63,nubes dispersas,35.1856,33.3823
2025-10-28T22:16:36.161544,Panagia,18.94,19.19,18.94,18.94,88,2.57,nubes dispersas,35.1856,33.3823
2025-10-29T06:26:20.117681,Panagia,20.94,21.13,20.94,20.94,78,3.09,algo de nubes,35.1856,33.3823
2025-10-29T06:45:13.657127,Panagia,22.94,23.07,22.94,22.94,68,4.12,algo de nubes,35.1856,33.3823
2025-10-29T06:50:54.847900,Panagia,22.94,23.07,22.94,22.94,68,4.12,algo de nubes,35.1856,33.3823
2025-10-29T06:57:50.791015,Panagia,22.94,23.07,22.94,22.94,68,4.12,algo de nubes,35.1856,33.3823
2025-10-29T07:02:01.385769,Panagia,23.94,24.06,23.94,23.94,64,4.12,algo de nubes,35.1856,33.3823
2025-10-29T07:09:33.539020,Panagia,23.94,24.06,23.94,23.94,64,4.12,algo de nubes,35.1856,33.3823
2025-10-29T14:17:59.502947,Panagia,25.94,26.08,25.94,25.94,57,4.63,nubes dispersas,35.1856,33.3823
2025-10-29T22:16:12.857579,Panagia,16.94,16.99,16.94,16.94,88,2.57,algo de nubes,35.1856,33.3823
2025-10-30T06:24:53.587706,Panagia,19.94,19.9,19.94,19.94,73,2.06,algo de nubes,35.1856,33.3823
2025-10-30T14:17:00.731823,Panagia,25.94,25.74,25.94,25.94,44,4.63,algo de nubes,35.1856,33.3823
2025-10-30T22:16:02.256999,Panagia,15.94,15.6,15.94,15.94,77,3.09,cielo claro,35.1856,33.3823
2025-10-31T06:25:07.218669,Panagia,18.94,18.67,18.94,18.94,68,3.09,cielo claro,35.1856,33.3823
2025-10-31T14:17:06.030227,Panagia,26.94,26.77,26.94,26.94,39,4.63,cielo claro,35.1856,33.3823
2025-10-31T22:15:58.935390,Panagia,14.94,14.5,14.94,14.94,77,2.57,cielo claro,35.1856,33.3823
2025-11-01T06:22:24.292075,Panagia,18.94,18.53,18.94,18.94,63,3.6,nubes dispersas,35.1856,33.3823
2025-11-01T14:14:03.224109,Panagia,25.94,25.74,25.94,25.94,44,5.66,cielo claro,35.1856,33.3823
2025-11-01T22:14:41.874915,Panagia,13.94,13.69,13.94,13.94,88,2.57,cielo claro,35.1856,33.3823
2025-11-02T06:23:26.673332,Panagia,15.94,15.13,15.94,15.94,59,2.06,cielo claro,35.1856,33.3823
