fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:04:04.513590,Ottawa,0.67,0.67,-0.2,1.27,87,1.03,cielo claro,45.4215,-75.6972
2025-10-27T14:19:35.116532,ByWard Market,4.4,1.72,3.38,5.83,81,3.09,algo de nubes,45.4215,-75.6972
2025-10-27T22:16:59.511262,ByWard Market,8.56,8.56,7.32,9.54,64,1.03,algo de nubes,45.4215,-75.6972
2025-10-28T06:27:24.673398,ByWard Market,2.47,-1.32,1.27,3.35,87,4.12,algo de nubes,45.4215,-75.6972
2025-10-28T06:41:44.487191,ByWard Market,2.25,-1.6,0.36,3.35,86,4.12,algo de nubes,45.4215,-75.6972
2025-10-28T14:19:24.615586,ByWard Market,6.4,3.81,5.45,7.94,81,3.6,algo de nubes,45.4215,-75.6972
2025-10-28T22:18:06.792114,Ottawa,9.54,8.72,9.54,9.54,54,1.92,cielo claro,45.4215,-75.6972
2025-10-29T06:27:47.561109,ByWard Market,1.35,-1.95,-0.11,2.27,87,3.09,cielo claro,45.4215,-75.6972
2025-10-29T06:46:45.533584,ByWard Market,1.29,-2.03,0.1,2.27,86,3.09,cielo claro,45.4215,-75.6972
2025-10-29T06:52:26.753446,ByWard Market,1.35,-1.95,0.1,2.27,86,3.09,cielo claro,45.4215,-75.6972
2025-10-29T06:59:17.024218,ByWard Market,1.35,-1.95,0.1,2.27,86,3.09,cielo claro,45.4215,-75.6972
2025-10-29T07:03:25.959570,ByWard Market,1.34,-1.97,0.1,2.27,86,3.09,cielo claro,45.4215,-75.6972
2025-10-29T07:10:58.089896,ByWard Market,1.45,-1.83,0.1,2.27,85,3.09,cielo claro,45.4215,-75.6972
2025-10-29T14:19:23.017320,ByWard Market,5.91,3.21,4.96,6.94,77,3.6,algo de nubes,45.4215,-75.6972
2025-10-29T22:17:42.767612,ByWard Market,8.65,7.17,8.38,9.33,59,2.57,algo de nubes,45.4215,-75.6972
2025-10-30T06:26:18.027325,ByWard Market,3.89,0.75,1.77,4.89,80,3.6,algo de nubes,45.4215,-75.6972
