fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:01:54.500853,Palma de Mallorca,13.25,13.19,11.97,14.01,98,2.27,cielo claro,39.5696,2.6502,0,10000,0.0,0.0
2025-10-27T14:17:20.100228,Palma,20.94,20.63,19.9,21.18,59,5.66,algo de nubes,39.5696,2.6502,0,10000,0.0,0.0
2025-10-27T22:14:48.815922,Palma de Mallorca,12.85,12.54,11.89,14.01,90,1.03,algo de nubes,39.5696,2.6502,0,10000,0.0,0.0
2025-10-28T06:25:09.061297,Palma de Mallorca,13.11,12.88,10.86,13.45,92,1.15,cielo claro,39.5696,2.6502,0,10000,0.0,0.0
2025-10-28T06:39:32.789545,Palma de Mallorca,13.36,13.23,12.81,13.45,95,0.83,cielo claro,39.5696,2.6502,0,10000,0.0,0.0
2025-10-28T14:17:04.514774,Palma de Mallorca,21.96,22.04,21.23,22.53,70,4.63,nubes dispersas,39.5696,2.6502,0,10000,0.0,0.0
2025-10-28T22:15:45.752151,Palma de Mallorca,15.01,14.89,14.35,16.23,89,1.54,algo de nubes,39.5696,2.6502,0,10000,0.0,0.0
2025-10-29T06:25:31.575459,Palma de Mallorca,16.22,16.27,14.35,17.84,91,1.03,nubes dispersas,39.5696,2.6502,0,10000,0.0,0.0
2025-10-29T06:44:22.598194,Palma de Mallorca,16.47,16.55,14.75,18.4,91,2.06,nubes dispersas,39.5696,2.6502,0,10000,0.0,0.0
2025-10-29T06:50:03.764120,Palma de Mallorca,16.42,16.49,14.75,18.4,91,2.06,nubes dispersas,39.5696,2.6502,0,10000,0.0,0.0
2025-10-29T06:57:02.842675,Palma,16.42,16.49,14.89,18.4,91,2.06,nubes dispersas,39.5696,2.6502,0,10000,0.0,0.0
