fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:01:58.005523,Prioro,1.1,-1.04,1.1,1.1,59,1.89,cielo claro,42.8948,-4.9635
2025-10-27T14:17:23.703904,Prioro,17.93,17.01,17.93,17.93,47,1.41,cielo claro,42.8948,-4.9635
2025-10-27T22:14:52.310225,Prioro,4.8,4.8,4.8,4.8,83,0.69,cielo claro,42.8948,-4.9635
2025-10-28T06:25:12.699848,Prioro,1.25,1.25,1.25,1.25,83,0.2,cielo claro,42.8948,-4.9635
2025-10-28T06:39:36.332980,Prioro,1.61,1.61,1.61,1.61,76,0.05,cielo claro,42.8948,-4.9635
2025-10-28T14:17:08.263664,Prioro,17.37,16.34,17.37,17.37,45,2.6,nubes,42.8948,-4.9635
2025-10-28T22:15:49.530387,Prioro,10.15,9.18,10.15,10.15,75,0.84,nubes,42.8948,-4.9635
2025-10-29T06:25:35.213919,Prioro,7.93,7.93,7.93,7.93,94,1.11,nubes,42.8948,-4.9635
2025-10-29T06:44:26.430723,Prioro,7.93,6.45,7.93,7.93,97,2.4,nubes,42.8948,-4.9635
2025-10-29T06:50:07.610973,Prioro,7.93,6.45,7.93,7.93,97,2.4,nubes,42.8948,-4.9635
2025-10-29T06:57:06.444564,Prioro,8.48,7.1,8.48,8.48,97,2.4,nubes,42.8948,-4.9635
2025-10-29T07:01:15.887647,Prioro,7.93,6.45,7.93,7.93,97,2.4,nubes,42.8948,-4.9635
2025-10-29T07:08:50.117162,Prioro,8.48,7.1,8.48,8.48,97,2.4,nubes,42.8948,-4.9635
2025-10-29T14:17:16.487396,Prioro,11.82,11.07,11.82,11.82,77,2.78,nubes,42.8948,-4.9635
2025-10-29T22:15:26.680946,Prioro,4.6,2.56,4.6,4.6,92,2.35,nubes dispersas,42.8948,-4.9635
2025-10-30T06:24:10.263561,Prioro,5.56,4.52,5.56,5.56,95,1.55,muy nuboso,42.8948,-4.9635
2025-10-30T14:16:16.103876,Prioro,11.26,10.35,11.26,11.26,73,4.14,nubes,42.8948,-4.9635
2025-10-30T22:15:17.576279,Prioro,8.48,7.34,8.48,8.48,89,2.1,nubes,42.8948,-4.9635
2025-10-31T06:24:24.108319,Prioro,9.04,7.52,9.04,9.04,90,2.75,nubes,42.8948,-4.9635
2025-10-31T14:16:21.519111,Prioro,10.71,10.37,10.71,10.71,97,4.42,nubes,42.8948,-4.9635
2025-10-31T22:15:15.907350,Prioro,10.71,10.32,10.71,10.71,95,5.71,nubes,42.8948,-4.9635
2025-11-01T06:21:39.894441,Prioro,9.04,7.59,9.04,9.04,97,2.64,nubes,42.8948,-4.9635
2025-11-01T14:13:18.278484,Prioro,9.6,8.13,9.6,9.6,91,2.83,nubes,42.8948,-4.9635
2025-11-01T22:13:57.404340,Prioro,4.6,3.61,4.6,4.6,86,1.41,nubes,42.8948,-4.9635
2025-11-02T06:22:42.294123,Prioro,4.26,4.26,4.26,4.26,92,1.27,nubes,42.8948,-4.9635
2025-11-02T14:13:31.176348,Prioro,10.71,9.66,10.71,10.71,70,2.61,nubes,42.8948,-4.9635
2025-11-02T22:14:15.932042,Prioro,5.31,5.31,5.31,5.31,86,0.7,nubes,42.8948,-4.9635
2025-11-03T06:25:57.514698,Prioro,2.06,2.06,2.06,2.06,90,0.57,muy nuboso,42.8948,-4.9635
2025-11-03T14:16:36.186055,Prioro,12.4,11.11,12.4,12.4,54,3.03,algo de nubes,42.8948,-4.9635
2025-11-03T22:16:06.315462,Prioro,2.93,2.93,2.93,2.93,84,0.61,nubes dispersas,42.8948,-4.9635
2025-11-04T06:25:08.781908,Prioro,4.04,4.04,4.04,4.04,82,1.12,nubes,42.8948,-4.9635
2025-11-04T14:17:10.827766,Prioro,11.82,10.52,11.82,11.82,56,3.58,nubes,42.8948,-4.9635
2025-11-04T22:15:03.894552,Prioro,6.82,4.53,6.82,6.82,75,3.24,nubes,42.8948,-4.9635
2025-11-05T06:25:00.813053,Prioro,9.6,6.22,9.6,9.6,69,7.75,nubes,42.8948,-4.9635
