fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:45.674587,Grímsstaðaholt,-3.08,-3.08,-3.08,-1.62,74,0.51,muy nuboso,64.1466,-21.9426
2025-10-27T14:18:13.158575,Grímsstaðaholt,2.92,-0.77,2.92,3.38,65,4.12,muy nuboso,64.1466,-21.9426
2025-10-27T22:15:40.195738,Grímsstaðaholt,1.72,-1.49,1.72,1.72,69,3.07,nubes,64.1466,-21.9426
2025-10-28T06:26:02.340007,Grímsstaðaholt,-0.08,-1.91,-0.08,0.05,93,1.54,nevada ligera,64.1466,-21.9426
2025-10-28T06:40:24.491512,Grímsstaðaholt,-0.08,-1.91,-0.08,0.05,93,1.54,nevada ligera,64.1466,-21.9426
2025-10-28T14:17:59.527343,Grímsstaðaholt,-0.08,-2.62,-1.62,-0.08,93,2.06,niebla,64.1466,-21.9426
2025-10-28T22:16:41.192771,Grímsstaðaholt,-3.08,-3.08,-3.08,-1.62,93,0.51,nieve,64.1466,-21.9426
2025-10-29T06:26:24.957267,Grímsstaðaholt,-2.08,-8.44,-2.73,-2.08,69,6.69,algo de nubes,64.1466,-21.9426
2025-10-29T06:45:18.783389,Grímsstaðaholt,-2.08,-8.44,-2.17,-2.08,69,6.69,algo de nubes,64.1466,-21.9426
2025-10-29T06:50:59.952602,Grímsstaðaholt,-2.08,-8.44,-2.73,-2.08,69,6.69,algo de nubes,64.1466,-21.9426
2025-10-29T06:57:55.574776,Grímsstaðaholt,-2.08,-8.44,-2.73,-2.08,69,6.69,algo de nubes,64.1466,-21.9426
2025-10-29T07:02:06.072980,Grímsstaðaholt,-2.08,-8.44,-2.73,-2.08,69,6.69,algo de nubes,64.1466,-21.9426
2025-10-29T07:09:38.228727,Grímsstaðaholt,-2.73,-8.5,-2.73,-2.73,62,5.27,algo de nubes,64.1466,-21.9426
2025-10-29T14:18:04.134746,Grímsstaðaholt,-0.08,-1.91,-0.51,-0.08,55,1.54,algo de nubes,64.1466,-21.9426
2025-10-29T22:16:17.839839,Grímsstaðaholt,-6.08,-6.08,-6.08,-2.73,68,1.03,cielo claro,64.1466,-21.9426
2025-10-30T06:24:58.279778,Grímsstaðaholt,-8.08,-13.31,-8.08,-2.17,57,3.09,cielo claro,64.1466,-21.9426
2025-10-30T14:17:05.569509,Grímsstaðaholt,-3.08,-6.13,-3.08,0.05,54,2.06,cielo claro,64.1466,-21.9426
2025-10-30T22:16:07.078341,Grímsstaðaholt,0.05,-4.55,0.05,0.05,60,4.49,nevada ligera,64.1466,-21.9426
2025-10-31T06:25:11.855997,Grímsstaðaholt,3.92,-1.14,3.38,3.92,56,7.72,cielo claro,64.1466,-21.9426
2025-10-31T14:17:10.832117,Grímsstaðaholt,6.92,3.91,6.16,6.92,61,4.63,muy nuboso,64.1466,-21.9426
2025-10-31T22:16:03.585997,Grímsstaðaholt,6.16,1.01,6.16,6.16,60,10.45,lluvia de gran intensidad,64.1466,-21.9426
2025-11-01T06:22:29.100845,Grímsstaðaholt,9.74,6.55,8.78,12.27,67,7.2,muy nuboso,64.1466,-21.9426
2025-11-01T14:14:08.084465,Grímsstaðaholt,7.2,3.86,7.2,7.2,62,5.54,algo de nubes,64.1466,-21.9426
2025-11-01T22:14:46.662457,Grímsstaðaholt,6.16,3.48,6.16,6.16,62,3.66,nubes dispersas,64.1466,-21.9426
2025-11-02T06:23:31.454868,Grímsstaðaholt,0.92,0.92,0.92,0.92,93,0.51,algo de nubes,64.1466,-21.9426
2025-11-02T14:14:23.316148,Grímsstaðaholt,7.83,6.99,7.83,7.83,55,1.67,nubes,64.1466,-21.9426
2025-11-02T22:15:05.180438,Grímsstaðaholt,4.16,1.18,4.16,4.16,87,3.45,nubes,64.1466,-21.9426
2025-11-03T06:26:48.701891,Grímsstaðaholt,0.92,-0.77,0.92,1.16,86,1.54,cielo claro,64.1466,-21.9426
2025-11-03T14:17:25.356753,Grímsstaðaholt,6.92,5.12,6.92,6.92,57,2.57,nubes dispersas,64.1466,-21.9426
2025-11-03T22:16:54.533578,Grímsstaðaholt,1.92,1.92,1.92,3.38,75,0.51,cielo claro,64.1466,-21.9426
2025-11-04T06:25:56.408724,Grímsstaðaholt,2.92,2.92,2.92,2.92,70,1.03,cielo claro,64.1466,-21.9426
2025-11-04T14:17:58.949282,Grímsstaðaholt,1.92,1.92,1.92,3.94,69,1.03,cielo claro,64.1466,-21.9426
2025-11-04T22:15:52.140834,Grímsstaðaholt,4.64,2.47,4.64,4.64,64,2.51,nubes,64.1466,-21.9426
2025-11-05T06:25:52.601697,Grímsstaðaholt,4.92,1.69,3.38,4.92,60,4.12,nubes,64.1466,-21.9426
