fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:03:30.897901,Riyadh,27.92,26.56,27.92,27.92,12,0.96,cielo claro,24.7136,46.6753
2025-10-27T14:19:00.160008,Riyadh,30.92,28.9,30.92,30.92,9,4.63,cielo claro,24.7136,46.6753
2025-10-27T22:16:25.742998,Riyadh,20.92,19.62,20.92,20.92,21,1.39,cielo claro,24.7136,46.6753
2025-10-28T06:26:49.584590,Riyadh,25.92,25.04,25.92,25.92,18,0.79,cielo claro,24.7136,46.6753
2025-10-28T06:41:10.211966,Riyadh,25.92,25.04,25.92,25.92,18,0.37,cielo claro,24.7136,46.6753
2025-10-28T14:18:48.341396,Riyadh,30.92,28.88,30.92,30.92,10,2.35,cielo claro,24.7136,46.6753
2025-10-28T22:17:30.336610,Riyadh,19.92,18.52,19.92,19.92,21,1.61,cielo claro,24.7136,46.6753
2025-10-29T06:27:12.414949,Riyadh,24.92,23.96,24.92,24.92,19,0.96,cielo claro,24.7136,46.6753
2025-10-29T06:46:08.574644,Riyadh,24.92,23.94,24.92,24.92,18,0.83,cielo claro,24.7136,46.6753
2025-10-29T06:51:49.745159,Riyadh,24.92,23.94,24.92,24.92,18,0.83,cielo claro,24.7136,46.6753
2025-10-29T06:58:42.295518,Riyadh,24.92,23.94,24.92,24.92,18,0.83,cielo claro,24.7136,46.6753
2025-10-29T07:02:51.956706,Riyadh,24.92,23.94,24.92,24.92,18,0.83,cielo claro,24.7136,46.6753
2025-10-29T07:10:24.067133,Riyadh,29.92,28.12,29.92,29.92,18,0.83,cielo claro,24.7136,46.6753
2025-10-29T14:18:49.370124,Riyadh,30.92,28.88,30.92,30.92,10,3.21,cielo claro,24.7136,46.6753
2025-10-29T22:17:06.599364,Riyadh,19.92,18.49,19.92,19.92,20,1.15,cielo claro,24.7136,46.6753
2025-10-30T06:25:44.038311,Riyadh,24.92,23.86,24.92,24.92,15,0.54,cielo claro,24.7136,46.6753
2025-10-30T14:17:52.549588,Riyadh,30.92,28.92,30.92,30.92,8,5.63,cielo claro,24.7136,46.6753
2025-10-30T22:16:54.099083,Riyadh,19.92,18.39,19.92,19.92,16,2.3,cielo claro,24.7136,46.6753
2025-10-31T06:25:57.143876,Riyadh,23.92,22.76,23.92,23.92,15,3.96,cielo claro,24.7136,46.6753
2025-10-31T14:17:57.959664,Riyadh,28.92,27.31,28.92,28.92,14,5.85,cielo claro,24.7136,46.6753
2025-10-31T22:16:48.998302,Riyadh,18.92,17.94,18.92,18.92,41,1.27,cielo claro,24.7136,46.6753
2025-11-01T06:23:15.875791,Riyadh,22.92,21.82,22.92,22.92,21,1.93,cielo claro,24.7136,46.6753
2025-11-01T14:14:55.428121,Riyadh,28.92,27.31,28.92,28.92,14,5.16,cielo claro,24.7136,46.6753
2025-11-01T22:15:33.459907,Riyadh,18.92,17.44,18.92,18.92,22,1.97,cielo claro,24.7136,46.6753
2025-11-02T06:24:18.259816,Riyadh,22.92,21.69,22.92,22.92,16,2.43,cielo claro,24.7136,46.6753
