fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:04:07.983420,San José,19.4,19.9,18.16,19.51,96,1.54,niebla,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-27T14:19:38.713404,San José,21.48,21.98,21.21,22.46,88,2.06,nubes dispersas,9.9295,-84.0884,0,10000,0.0,0.0
2025-10-27T22:17:02.994823,San José,20.77,21.36,20.38,21.0,94,3.58,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-28T06:27:28.303017,San José,19.61,20.16,19.27,19.88,97,1.54,lluvia de gran intensidad,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-28T06:41:48.018764,San José,19.45,19.98,19.27,19.51,97,1.54,lluvia de gran intensidad,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-28T14:19:28.372718,San José,20.67,21.22,19.9,21.55,93,1.54,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-28T22:18:10.618260,San José,22.16,22.65,21.43,22.29,85,3.6,nubes dispersas,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-29T06:27:51.191443,San José,19.28,19.77,18.77,19.51,96,2.06,niebla,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-29T06:46:49.356186,San José,19.45,19.96,18.43,19.51,96,2.06,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-29T06:52:30.580574,San José,19.45,19.96,18.43,19.51,96,2.06,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-29T06:59:20.650960,San José,19.45,19.96,18.43,19.51,96,2.06,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-29T07:03:29.482491,San José,19.45,19.98,19.27,19.51,97,1.54,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-29T07:11:01.612911,San José,19.48,20.02,18.46,19.54,97,2.06,bruma,9.9295,-84.0884,0,10000,0.0,0.0
2025-10-29T14:19:26.523802,San José,20.55,21.06,20.1,21.52,92,1.03,bruma,9.9295,-84.0884,0,10000,0.0,0.0
2025-10-29T22:17:46.516801,San José,20.32,20.86,19.27,20.9,94,4.63,lluvia moderada,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-30T06:26:21.538251,San José,18.9,19.38,18.43,18.96,97,2.57,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-30T14:18:31.006736,San José,20.67,21.04,20.44,21.49,86,6.17,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-30T22:17:32.560952,San José,21.54,21.84,21.0,23.43,80,6.69,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-31T06:26:34.243724,San José,19.35,19.64,18.77,20.94,88,4.12,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-31T14:18:36.418233,San José,20.4,20.74,19.88,21.43,86,4.12,lluvia moderada,9.9281,-84.0907,0,10000,0.0,0.0
2025-10-31T22:17:26.124128,San José,20.0,20.14,19.51,22.43,80,6.69,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-01T06:23:54.206984,San José,18.75,19.08,18.22,19.43,92,3.6,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-01T14:15:34.246259,San José,20.51,20.78,19.88,20.9,83,4.12,muy nuboso,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-01T22:16:11.773126,San José,21.71,22.1,20.43,21.9,83,2.57,lluvia moderada,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-02T06:24:56.595140,San José,19.22,19.52,17.6,19.51,89,1.03,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-02T14:15:53.568393,San José,20.64,20.98,20.38,21.43,85,3.09,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-02T22:16:30.450111,San José,21.34,21.75,19.43,21.74,85,3.6,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-03T06:28:17.289756,San José,18.17,18.5,17.66,18.43,94,1.54,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-03T14:18:50.505731,San José,21.17,21.41,20.44,21.9,79,4.63,bruma,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-03T22:18:17.906896,San José,20.24,20.7,19.88,21.43,91,3.09,llovizna,9.9281,-84.0907,0,10000,0.0,0.0
2025-11-04T06:27:18.854059,San José,19.4,19.85,18.16,19.51,94,2.06,lluvia ligera,9.9281,-84.0907,0,10000,0.0,0.0
