fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:02:49.148223,Borgo Maggiore,8.41,7.29,7.14,9.26,69,2.06,cielo claro,43.9424,12.4578,0,10000,0.0,0.0
2025-10-27T14:18:16.769975,Borgo Maggiore,15.48,14.36,14.51,15.92,49,1.54,cielo claro,43.9424,12.4578,0,10000,0.0,0.0
2025-10-27T22:15:43.695858,Borgo Maggiore,12.34,11.46,9.74,14.15,70,2.24,nubes,43.9424,12.4578,0,10000,0.0,0.0
2025-10-28T06:26:05.991377,Borgo Maggiore,9.64,9.18,8.04,10.37,77,1.56,algo de nubes,43.9424,12.4578,0,10000,0.0,0.0
2025-10-28T06:40:28.007000,Borgo Maggiore,9.84,9.84,8.26,12.31,76,0.36,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-28T14:18:03.316518,Borgo Maggiore,16.71,16.13,15.26,17.48,65,4.63,cielo claro,43.9424,12.4578,0,10000,0.0,0.0
2025-10-28T22:16:44.921314,Borgo Maggiore,13.59,12.75,10.81,14.26,67,2.75,algo de nubes,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T06:26:28.596449,Borgo Maggiore,13.4,12.75,10.34,14.51,75,2.57,nubes,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T06:45:22.620258,Borgo Maggiore,13.69,13.02,11.92,14.51,73,2.57,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T06:51:03.789628,Borgo Maggiore,13.51,12.82,10.85,14.7,73,2.57,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T06:57:59.162639,Borgo Maggiore,13.29,12.63,10.85,14.7,75,2.57,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T07:02:09.606184,Borgo Maggiore,13.29,12.63,10.85,14.7,75,2.57,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T07:09:41.742084,Borgo Maggiore,13.32,12.67,10.85,14.51,75,2.06,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T14:18:07.611440,Borgo Maggiore,18.87,18.2,17.31,19.81,53,3.6,nubes dispersas,43.9424,12.4578,0,10000,0.0,0.0
2025-10-29T22:16:21.584755,Borgo Maggiore,15.79,15.25,14.7,16.59,70,2.24,cielo claro,43.9424,12.4578,0,10000,0.0,0.0
2025-10-30T06:25:01.788165,Borgo Maggiore,15.99,15.47,14.7,17.0,70,4.63,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-30T14:17:09.179028,Borgo Maggiore,16.23,16.08,15.51,17.48,83,3.09,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-10-30T22:16:10.685263,Borgo Maggiore,12.76,12.52,11.2,13.55,93,2.57,niebla,43.9424,12.4578,0,10000,0.0,0.0
2025-10-31T06:25:15.343400,Borgo Maggiore,11.21,10.89,10.64,12.48,96,1.54,niebla,43.9424,12.4578,0,10000,0.0,0.0
2025-10-31T14:17:14.432575,Borgo Maggiore,14.47,14.22,14.15,15.26,86,3.6,nubes dispersas,43.9424,12.4578,0,10000,0.0,0.0
2025-10-31T22:16:07.086862,Borgo Maggiore,13.2,13.0,12.31,14.15,93,1.03,muy nuboso,43.9424,12.4578,0,10000,0.0,0.0
2025-11-01T06:22:32.701009,Borgo Maggiore,12.42,12.15,11.88,13.59,93,1.54,nubes,43.9424,12.4578,0,10000,0.0,0.0
2025-11-01T14:14:11.724178,Borgo Maggiore,15.8,15.58,14.81,16.37,82,2.57,nubes dispersas,43.9424,12.4578,0,10000,0.0,0.0
2025-11-01T22:14:50.251194,Borgo Maggiore,12.06,11.72,11.51,13.04,92,1.54,nubes,43.9424,12.4578,0,10000,0.0,0.0
2025-11-02T06:23:35.056399,Borgo Maggiore,11.51,11.12,10.92,13.98,92,3.11,nubes,43.9424,12.4578,0,10000,0.0,0.0
