fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:08.592922,Teruel,1.6,1.6,1.6,1.6,100,1.03,cielo claro,40.3456,-1.1065
2025-10-27T14:17:34.540072,Teruel,16.6,15.33,16.6,16.6,39,4.63,cielo claro,40.3456,-1.1065
2025-10-27T22:15:02.818110,Teruel,8.6,5.99,8.6,8.6,71,4.63,cielo claro,40.3456,-1.1065
2025-10-28T06:25:23.600001,Teruel,3.6,2.3,3.6,3.6,100,1.54,cielo claro,40.3456,-1.1065
2025-10-28T06:39:46.902728,Teruel,3.6,2.3,3.6,3.6,100,1.54,cielo claro,40.3456,-1.1065
2025-10-28T14:17:19.536500,Teruel,20.6,19.45,20.6,20.6,28,5.66,cielo claro,40.3456,-1.1065
2025-10-28T22:16:00.867551,Teruel,9.6,7.98,9.6,9.6,87,3.09,cielo claro,40.3456,-1.1065
2025-10-29T06:25:46.127690,Teruel,9.6,7.04,9.6,9.6,100,5.14,algo de nubes,40.3456,-1.1065
2025-10-29T06:44:37.921625,Teruel,9.6,7.24,9.6,9.6,100,4.63,nubes dispersas,40.3456,-1.1065
2025-10-29T06:50:19.095772,Teruel,9.6,7.24,9.6,9.6,100,4.63,nubes dispersas,40.3456,-1.1065
2025-10-29T06:57:17.243512,Teruel,9.6,7.24,9.6,9.6,100,4.63,nubes dispersas,40.3456,-1.1065
2025-10-29T07:01:27.963214,Teruel,9.6,7.24,9.6,9.6,100,4.63,lluvia moderada,40.3456,-1.1065
2025-10-29T07:09:00.684515,Teruel,9.6,7.24,9.6,9.6,100,4.63,nubes dispersas,40.3456,-1.1065
2025-10-29T14:17:26.965892,Teruel,14.6,14.73,14.6,14.6,100,4.12,muy nuboso,40.3456,-1.1065
2025-10-29T22:15:37.945059,Teruel,11.6,11.43,11.6,11.6,100,0.51,cielo claro,40.3456,-1.1065
2025-10-30T06:24:20.795222,Teruel,10.6,10.33,10.6,10.6,100,0.51,muy nuboso,40.3456,-1.1065
2025-10-30T14:16:26.963979,Teruel,17.6,17.06,17.6,17.6,63,2.06,nubes dispersas,40.3456,-1.1065
2025-10-30T22:15:28.520834,Teruel,9.6,8.68,9.6,9.6,100,2.06,cielo claro,40.3456,-1.1065
2025-10-31T06:24:34.586910,Teruel,7.6,6.34,7.6,7.6,100,2.06,cielo claro,40.3456,-1.1065
2025-10-31T14:16:32.342508,Teruel,16.6,15.96,16.6,16.6,63,3.09,cielo claro,40.3456,-1.1065
2025-10-31T22:15:26.381375,Teruel,10.6,10.33,10.6,10.6,100,2.57,cielo claro,40.3456,-1.1065
2025-11-01T06:21:50.710802,Teruel,8.6,7.51,8.6,8.6,100,2.06,cielo claro,40.3456,-1.1065
2025-11-01T14:13:29.214435,Teruel,17.6,16.75,17.6,17.6,51,2.57,cielo claro,40.3456,-1.1065
2025-11-01T22:14:08.222114,Teruel,10.6,10.33,10.6,10.6,100,2.57,nubes,40.3456,-1.1065
2025-11-02T06:22:53.101289,Teruel,10.6,10.14,10.6,10.6,93,3.6,muy nuboso,40.3456,-1.1065
2025-11-02T14:13:42.629810,Teruel,16.6,15.33,16.6,16.6,39,7.2,cielo claro,40.3456,-1.1065
2025-11-02T22:14:26.717747,Teruel,7.6,6.34,7.6,7.6,76,2.06,cielo claro,40.3456,-1.1065
2025-11-03T06:26:08.773091,Teruel,2.6,1.15,2.6,2.6,100,1.54,cielo claro,40.3456,-1.1065
2025-11-03T14:16:46.984234,Teruel,15.6,14.29,15.6,15.6,41,1.03,cielo claro,40.3456,-1.1065
2025-11-03T22:16:16.904715,Teruel,7.6,5.57,7.6,7.6,100,3.09,cielo claro,40.3456,-1.1065
2025-11-04T06:25:19.250000,Teruel,2.6,0.51,2.6,2.6,100,2.06,cielo claro,40.3456,-1.1065
2025-11-04T14:17:21.391009,Teruel,19.6,18.63,19.6,19.6,39,6.17,niebla,40.3456,-1.1065
2025-11-04T22:15:14.463851,Teruel,8.6,6.77,8.6,8.6,100,3.09,cielo claro,40.3456,-1.1065
2025-11-05T06:25:12.240176,Teruel,9.6,7.04,9.6,9.6,100,5.14,nubes,40.3456,-1.1065
2025-11-05T06:59:19.518813,Teruel,9.6,6.85,9.6,9.6,100,20.376,nubes,40.3456,-1.1065
2025-11-05T07:15:08.818841,Teruel,9.6,6.85,9.6,9.6,100,20.376,nubes,40.3456,-1.1065
2025-11-05T14:18:16.053596,Teruel,17.6,16.85,17.6,17.6,55,24.084000000000003,cielo claro,40.3456,-1.1065
2025-11-05T22:16:51.893744,Teruel,11.6,11.43,11.6,11.6,100,14.832,muy nuboso,40.3456,-1.1065
2025-11-06T06:26:11.947314,Teruel,8.6,8.6,8.6,8.6,93,3.708,muy nuboso,40.3456,-1.1065
2025-11-06T06:57:21.803329,Teruel,9.6,7.46,9.6,9.6,76,14.832,muy nuboso,40.3456,-1.1065
2025-11-06T07:06:05.330575,Teruel,9.6,7.46,9.6,9.6,76,14.832,muy nuboso,40.3456,-1.1065
