fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:03:39.017019,Horinouchi,22.1,22.04,20.81,22.59,64,2.57,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-27T14:19:08.592041,Horinouchi,17.74,17.01,15.59,18.71,55,7.26,nubes dispersas,35.6762,139.6503,0,10000,0.0,0.0
2025-10-27T22:16:33.886986,Horinouchi,14.77,13.82,13.67,15.81,58,5.14,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-28T06:26:58.055192,Horinouchi,19.91,19.03,18.68,20.92,41,2.06,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-28T06:41:18.408820,Horinouchi,19.72,18.84,18.68,20.36,42,2.06,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-28T14:18:57.145970,Horinouchi,14.32,12.96,12.26,14.82,44,8.75,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-28T22:17:39.166266,Horinouchi,12.43,11.09,11.15,12.93,52,7.2,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T06:27:20.903123,Horinouchi,16.23,15.21,15.38,17.4,50,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T06:46:17.484594,Horinouchi,16.17,15.17,15.38,17.4,51,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T06:51:58.684254,Horinouchi,16.23,15.24,15.38,17.4,51,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T06:58:50.686349,Horinouchi,16.22,15.23,15.35,17.4,51,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T07:03:00.170599,Horinouchi,16.22,15.23,15.35,17.4,51,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T07:10:32.300631,Horinouchi,16.0,15.09,15.35,17.02,55,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T14:18:57.519120,Horinouchi,13.36,12.29,11.4,14.24,59,6.69,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-29T22:17:15.398463,Horinouchi,10.75,9.66,9.78,11.4,68,4.52,cielo claro,35.6762,139.6503,0,10000,0.0,0.0
2025-10-30T06:25:52.249376,Horinouchi,18.81,18.05,17.57,19.59,50,4.12,algo de nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-10-30T14:18:00.944000,Horinouchi,14.85,14.43,13.4,15.81,78,4.63,nubes dispersas,35.6762,139.6503,0,10000,0.0,0.0
2025-10-30T22:17:02.543640,Horinouchi,13.52,12.81,12.93,14.4,72,4.63,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-31T06:26:05.265687,Horinouchi,16.87,16.34,16.15,16.97,66,5.66,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-10-31T14:18:06.393055,Horinouchi,13.36,13.15,13.13,14.4,92,9.26,chubasco de ligera intensidad,35.6762,139.6503,0,10000,0.0,0.0
2025-10-31T22:16:57.131538,Horinouchi,15.17,14.83,13.37,15.92,80,3.09,algo de nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-11-01T06:23:24.270102,Horinouchi,21.34,21.12,20.35,23.13,61,4.12,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-01T14:15:03.903199,Horinouchi,16.24,15.83,14.4,17.03,73,1.54,algo de nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-11-01T22:15:41.855838,Horinouchi,13.97,13.41,12.26,14.25,76,3.6,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-02T06:24:26.649635,Horinouchi,18.66,18.17,17.97,19.89,61,5.66,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-02T14:15:21.803670,Horinouchi,15.86,15.33,13.4,16.81,70,3.6,cielo claro,35.6762,139.6503,0,10000,0.0,0.0
2025-11-02T22:16:00.521222,Horinouchi,12.44,11.83,10.59,12.59,80,2.06,algo de nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-11-03T06:27:46.125836,Horinouchi,16.82,15.63,15.97,18.11,41,10.29,algo de nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-11-03T14:18:20.494084,Horinouchi,12.15,10.96,9.59,12.58,59,7.9,cielo claro,35.6762,139.6503,0,10000,0.0,0.0
2025-11-03T22:17:48.587455,Horinouchi,10.19,8.99,7.59,11.81,66,5.14,algo de nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-11-04T06:26:49.834737,Horinouchi,16.67,15.52,15.35,17.67,43,3.6,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-04T14:18:53.202387,Horinouchi,12.54,11.52,10.4,13.71,64,2.39,nubes,35.6762,139.6503,0,10000,0.0,0.0
2025-11-04T22:16:46.319387,Horinouchi,11.64,10.58,8.59,11.81,66,4.63,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-05T06:26:50.418319,Horinouchi,15.51,14.45,14.89,15.92,51,3.09,lluvia de gran intensidad,35.6762,139.6503,0,10000,0.0,0.0
2025-11-05T07:02:28.871654,Horinouchi,15.54,14.53,14.89,15.92,53,11.124,lluvia moderada,35.6762,139.6503,0,10000,0.0,0.0
2025-11-05T07:18:27.541525,Horinouchi,15.53,14.55,14.24,15.92,54,11.124,lluvia ligera,35.6762,139.6503,0,10000,0.0,0.0
2025-11-05T14:21:27.352442,Horinouchi,14.08,13.24,13.11,14.8,65,22.212,chubasco de ligera intensidad,35.6762,139.6503,0,10000,0.0,0.0
2025-11-05T22:20:01.452471,Horinouchi,12.68,12.17,12.4,13.78,83,20.376,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-06T06:29:23.494390,Horinouchi,18.52,18.02,17.93,19.59,61,18.504,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-06T07:00:43.028062,Horinouchi,18.39,17.88,17.93,19.59,61,18.504,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-06T07:09:11.422139,Horinouchi,18.44,17.96,17.93,19.4,62,18.504,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-06T07:21:33.663202,Horinouchi,18.18,17.7,17.6,18.76,63,16.668,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-06T14:21:32.255313,Horinouchi,15.36,14.49,13.37,15.92,59,12.528,cielo claro,35.6762,139.6503,0,10000,0.0,0.0
2025-11-06T22:19:53.998809,Horinouchi,12.91,12.11,11.15,13.81,71,5.5440000000000005,cielo claro,35.6762,139.6503,0,10000,0.0,0.0
2025-11-07T06:28:59.600050,Horinouchi,19.88,18.76,18.97,20.91,32,25.92,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-07T14:20:27.474721,Horinouchi,14.45,13.05,12.4,14.82,42,35.172,nubes dispersas,35.6762,139.6503,0,10000,0.0,0.0
2025-11-07T22:19:03.278263,Horinouchi,13.27,12.01,11.4,14.24,52,16.668,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-08T06:25:59.844234,Horinouchi,16.24,15.28,15.38,17.02,52,12.96,muy nuboso,35.6762,139.6503,0,10000,0.0,0.0
2025-11-08T21:38:35.588365,Horinouchi,10.94,10.34,10.34,11.81,86,18.503999999999998,lluvia de gran intensidad,35.6762,139.6503,75,7000,5.62,0.0
2025-11-08T22:18:41.900161,Horinouchi,10.91,10.33,10.4,11.59,87,16.668,niebla,35.6762,139.6503,75,5000,5.62,0.0
2025-11-09T06:27:00.842355,Horinouchi,13.48,13.13,12.56,14.8,86,5.5440000000000005,muy nuboso,35.6762,139.6503,75,8000,0.0,0.0
2025-11-09T14:17:42.909572,Horinouchi,12.35,12.04,11.15,13.4,92,16.668,muy nuboso,35.6762,139.6503,75,6000,0.0,0.0
2025-11-09T22:18:51.179066,Horinouchi,12.91,12.61,12,13.81,90,1.836,muy nuboso,35.6762,139.6503,75,10000,0.0,0.0
2025-11-10T06:30:58.909013,Horinouchi,17.93,16.9,17,18.76,43,33.336,muy nuboso,35.6762,139.6503,75,10000,0.0,0.0
2025-11-10T07:00:19.624574,Horinouchi,17.56,16.52,17.02,18.4,44,25.92,muy nuboso,35.6762,139.6503,75,10000,0.0,0.0
2025-11-10T07:08:48.663949,Horinouchi,17.42,16.37,16.82,18.4,44,25.92,muy nuboso,35.6762,139.6503,75,10000,0.0,0.0
2025-11-10T14:21:41.176672,Horinouchi,11.42,10.16,9.48,12.03,59,14.832,cielo claro,35.6762,139.6503,0,10000,0.0,0.0
2025-11-10T22:20:49.513267,Horinouchi,11.74,10.33,8.37,12.81,52,24.084000000000003,muy nuboso,35.6762,139.6503,75,10000,0.0,0.0
2025-11-11T06:29:39.867549,Horinouchi,15.69,14.41,14.9,16.4,42,16.668,muy nuboso,35.6762,139.6503,75,10000,0.0,0.0
2025-11-11T14:21:08.950338,Horinouchi,11.26,9.9,9.4,12.02,56,20.052000000000003,nubes dispersas,35.6762,139.6503,25,10000,0.0,0.0
2025-11-11T22:20:05.090152,Horinouchi,9.84,7.75,7.4,10.91,58,14.832,algo de nubes,35.6762,139.6503,20,10000,0.0,0.0
