fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:09.753230,Toledo,7.69,7.2,7.69,7.69,75,1.35,cielo claro,39.8628,-4.0273
2025-10-27T14:17:35.751570,Toledo,18.86,17.77,18.86,18.86,37,1.24,cielo claro,39.8628,-4.0273
2025-10-27T22:15:03.980934,Toledo,11.02,9.77,11.02,11.02,61,1.15,cielo claro,39.8628,-4.0273
2025-10-28T06:25:24.817627,Toledo,6.86,6.86,6.86,6.86,74,1.06,cielo claro,39.8628,-4.0273
2025-10-28T06:39:48.072961,Toledo,7.48,6.62,7.48,7.48,59,1.64,muy nuboso,39.8628,-4.0273
2025-10-28T14:17:20.784741,Toledo,20.01,18.85,20.01,20.01,30,1.34,nubes,39.8628,-4.0273
2025-10-28T22:16:02.150137,Toledo,13.34,12.48,13.34,13.34,67,1.84,nubes,39.8628,-4.0273
2025-10-29T06:25:47.344390,Toledo,11.58,11.2,11.58,11.58,92,5.79,lluvia ligera,39.8628,-4.0273
2025-10-29T06:44:39.193485,Toledo,11.48,11.06,11.48,11.48,91,3.76,nubes,39.8628,-4.0273
2025-10-29T06:50:20.377911,Toledo,11.48,11.06,11.48,11.48,91,3.76,nubes,39.8628,-4.0273
2025-10-29T06:57:18.448029,Toledo,11.48,11.06,11.48,11.48,91,3.76,nubes,39.8628,-4.0273
2025-10-29T07:01:29.335416,Toledo,11.48,11.06,11.48,11.48,91,3.76,nubes,39.8628,-4.0273
2025-10-29T07:09:01.866892,Toledo,11.48,11.06,11.48,11.48,91,3.76,nubes,39.8628,-4.0273
2025-10-29T14:17:28.126730,Toledo,15.34,15.33,15.34,15.34,92,1.33,nubes,39.8628,-4.0273
2025-10-29T22:15:39.205370,Toledo,13.46,13.34,13.46,13.46,95,2.14,muy nuboso,39.8628,-4.0273
2025-10-30T06:24:21.973328,Toledo,11.21,10.81,11.21,11.21,93,0.54,cielo claro,39.8628,-4.0273
2025-10-30T14:16:28.172791,Toledo,17.61,17.46,17.61,17.61,78,6.06,algo de nubes,39.8628,-4.0273
2025-10-30T22:15:29.733426,Toledo,14,13.65,14,14,84,2.45,nubes,39.8628,-4.0273
2025-10-31T06:24:35.750141,Toledo,12.42,12.15,12.42,12.42,93,2.73,nubes,39.8628,-4.0273
2025-10-31T14:16:33.552376,Toledo,16.82,16.39,16.82,16.82,70,7.02,nubes,39.8628,-4.0273
2025-10-31T22:15:27.541458,Toledo,15.44,15.18,15.44,15.44,82,4.06,nubes,39.8628,-4.0273
2025-11-01T06:21:51.908628,Toledo,12.98,12.63,12.98,12.98,88,3.56,nubes,39.8628,-4.0273
2025-11-01T14:13:30.425823,Toledo,18.25,17.62,18.25,18.25,57,6.18,nubes,39.8628,-4.0273
2025-11-01T22:14:09.428647,Toledo,15.74,15.67,15.74,15.74,88,4.25,nubes,39.8628,-4.0273
2025-11-02T06:22:54.299397,Toledo,12.88,12.47,12.88,12.88,86,4.09,muy nuboso,39.8628,-4.0273
2025-11-02T14:13:43.899658,Toledo,18.09,17.18,18.09,18.09,47,3.5,nubes,39.8628,-4.0273
2025-11-02T22:14:27.915062,Toledo,12.23,11.26,12.23,12.23,67,1.82,muy nuboso,39.8628,-4.0273
2025-11-03T06:26:10.016284,Toledo,8.65,8.24,8.65,8.65,80,1.39,algo de nubes,39.8628,-4.0273
2025-11-03T14:16:48.187658,Toledo,18.37,17.2,18.37,18.37,36,1.9,cielo claro,39.8628,-4.0273
2025-11-03T22:16:18.076035,Toledo,11.98,10.85,11.98,11.98,62,1.79,muy nuboso,39.8628,-4.0273
2025-11-04T06:25:20.411576,Toledo,8.28,8.28,8.28,8.28,77,1.04,nubes,39.8628,-4.0273
2025-11-04T14:17:22.569572,Toledo,19.61,18.88,19.61,19.61,48,1.18,algo de nubes,39.8628,-4.0273
2025-11-04T22:15:15.640131,Toledo,13.71,12.91,13.71,13.71,68,2.69,muy nuboso,39.8628,-4.0273
2025-11-05T06:25:13.479628,Toledo,11.64,10.97,11.64,11.64,81,4.11,nubes,39.8628,-4.0273
2025-11-05T06:59:21.944176,Toledo,11.02,10.27,11.02,11.02,80,13.572000000000001,nubes,39.8628,-4.0273
2025-11-05T07:15:11.371905,Toledo,11.86,11.24,11.86,11.86,82,13.572000000000001,nubes,39.8628,-4.0273
2025-11-05T14:18:18.505801,Toledo,19.02,18.65,19.02,19.02,64,31.86,lluvia ligera,39.8628,-4.0273
