fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon,nubosidad_porc,visibilidad_m,lluvia_1h,nieve_1h
2025-10-27T07:03:43.657935,Wellington,15.97,16.08,15.31,16.81,94,14.4,muy nuboso,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-27T14:19:13.433921,Hataitai,13.1,12.68,12.53,13.81,85,5.14,muy nuboso,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-27T22:16:38.547600,Wellington,11.48,10.62,10.51,11.98,74,4.12,nubes dispersas,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-28T06:27:02.898229,Wellington,7.48,3.19,6.42,8.81,88,8.75,nubes,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-28T06:41:23.100433,Wellington,7.48,3.19,6.42,8.81,88,8.75,nubes,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-28T14:19:02.132581,Wellington,8.81,6.48,8.81,11.48,61,4.12,cielo claro,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-28T22:17:44.200194,Hataitai,14.02,12.91,13.81,14.25,55,9.26,algo de nubes,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-29T06:27:25.756325,Wellington,12.55,11.53,11.62,14.25,64,7.72,cielo claro,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-29T06:46:22.581349,Wellington,11.95,10.9,11.06,13.7,65,7.72,cielo claro,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-29T06:52:03.794713,Wellington,11.95,10.92,11.06,13.7,66,7.72,cielo claro,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-29T06:58:55.480236,Wellington,11.95,10.92,11.06,13.7,66,7.72,cielo claro,-41.2865,174.7762,0,10000,0.0,0.0
2025-10-29T07:03:04.853850,Wellington,11.95,10.95,11.06,12.81,67,7.72,cielo claro,-41.2865,174.7762,0,10000,0.0,0.0
