fecha_hora,ciudad,temperatura_c,sensacion_c,temp_min_c,temp_max_c,humedad_porc,viento_kmh,descripcion,lat,lon
2025-10-27T07:02:15.538396,Zamora,4.79,4.79,4.79,4.79,77,0.84,cielo claro,41.5,-5.75
2025-10-27T14:17:41.844155,Zamora,16.2,14.97,16.2,16.2,42,0.9,cielo claro,41.5035,-5.7455
2025-10-27T22:15:09.807114,Zamora,8.94,8.22,8.94,8.94,68,1.71,cielo claro,41.5035,-5.7455
2025-10-28T06:25:30.890604,Zamora,4.54,4.54,4.54,4.54,68,1.04,cielo claro,41.5035,-5.7455
2025-10-28T06:39:53.956143,Zamora,5.02,4.12,5.02,5.02,59,1.39,nubes,41.5035,-5.7455
2025-10-28T14:17:27.051767,Zamora,18.23,17.13,18.23,18.23,39,1.62,nubes,41.5035,-5.7455
2025-10-28T22:16:08.438880,Zamora,12.34,11.25,12.34,12.34,62,5.26,lluvia ligera,41.5035,-5.7455
2025-10-29T06:25:53.416769,Zamora,10.24,9.7,10.24,10.24,91,4.86,nubes,41.5035,-5.7455
2025-10-29T06:44:45.580779,Zamora,10.04,9.35,10.04,10.04,86,5.3,nubes,41.5035,-5.7455
2025-10-29T06:50:26.757966,Zamora,10.04,9.35,10.04,10.04,86,5.3,nubes,41.5035,-5.7455
2025-10-29T06:57:24.438712,Zamora,10.04,9.35,10.04,10.04,86,5.3,nubes,41.5035,-5.7455
2025-10-29T07:01:35.532124,Zamora,10.04,9.35,10.04,10.04,86,5.3,nubes,41.5,-5.75
2025-10-29T07:09:07.725539,Zamora,10.04,9.35,10.04,10.04,86,5.3,nubes,41.5035,-5.7455
2025-10-29T14:17:33.948462,Zamora,16.33,15.64,16.33,16.33,62,6.84,algo de nubes,41.5035,-5.7455
2025-10-29T22:15:45.427388,Zamora,11.52,10.95,11.52,11.52,85,3.92,cielo claro,41.5035,-5.7455
2025-10-30T06:24:27.835028,Zamora,9.19,7.6,9.19,9.19,91,2.9,cielo claro,41.5035,-5.7455
2025-10-30T14:16:34.195168,Zamora,16.2,15.52,16.2,16.2,63,9.45,nubes,41.5,-5.75
2025-10-30T22:15:35.764886,Zamora,11.45,10.69,11.45,11.45,78,6.68,nubes,41.5035,-5.7455
2025-10-31T06:24:41.602359,Zamora,10.55,9.75,10.55,10.55,80,8.3,nubes,41.5035,-5.7455
2025-10-31T14:16:39.565141,Zamora,13.23,12.75,13.23,13.23,82,10.89,nubes,41.5035,-5.7455
2025-10-31T22:15:33.350598,Zamora,13.8,13.43,13.8,13.8,84,6.43,nubes,41.5035,-5.7455
